mot;occurrences
outre;161
départements;119
métropole;115
emploi;86
etat;58
réunion;56
migration;55
migrations;54
jeunes;51
crédits;50
formation;46
migrants;44
ministre;44
nationale;42
développement;38
professionnelle;37
travailleurs;37
bureau;34
soit;33
travail;32
france;31
même;31
francs;30
agence;30
budget;29
nombre;29
demande;27
réunionnais;26
voyage;26
problème;26
conditions;26
ailleurs;25
deux;24
secrétaire;24
politique;23
territoires;23
organisme;23
aide;22
département;22
sociale;22
emplois;22
concerne;22
effort;21
part;21
depuis;21
société;20
autre;20
économique;20
originaires;20
pays;19
personnes;19
place;19
compte;19
venir;19
situation;18
effet;18
moyens;18
chômage;18
antillais;18
avez;18
gouvernement;17
quelques;17
ayant;16
premier;16
prendre;16
charge;16
centres;16
service;16
économie;16
trois;15
accueil;15
action;15
venus;15
faveur;15
malgré;15
beaucoup;15
mesures;15
cela;14
intéressant;14
démographique;14
frais;14
peuvent;14
social;14
promotion;14
difficultés;14
tion;14
question;14
finances;14
prix;14
quelles;14
debré;14
mobilité;14
tarif;14
insertion;14
chargé;13
système;13
ment;13
plan;13
efforts;13
millions;13
