orateur_1;orateur_2;cooccurrences
M. Jean Fontaine;M. Michel Debré;13
M. Camille Petit;M. Victor Sablé;8
M. Jean Fontaine;M. Victor Sablé;8
M. Jean Fontaine;M. Jean-Paul de Rocca Serra;8
M. Camille Petit;M. Jean Fontaine;8
M. Frédéric Jalton;M. Michel Debré;8
M. Michel Debré;M. Victor Sablé;7
M. Jean-Paul de Rocca Serra;M. Michel Debré;7
M. Ernest Moutoussamy;M. Michel Debré;7
M. Michel Debré;M. Olivier Stirn;6
M. Alain Vivien;M. Michel Debré;6
M. Frédéric Jalton;M. Jean Fontaine;6
M. Camille Petit;M. Michel Debré;6
M. Jean-Paul de Rocca Serra;M. Victor Sablé;5
M. Alain Vivien;M. Jean Fontaine;5
M. Aimé Césaire;M. Michel Debré;5
M. Michel Debré;M. Pierre Mauger;5
M. Guy Guermeur;M. Jean Fontaine;5
M. Emmanuel Hamel;M. Jean Fontaine;5
M. Ernest Moutoussamy;M. Frédéric Jalton;5
M. Georges Lemoine;M. Michel Debré;5
M. Aimé Césaire;M. Marcel Cerneau;4
M. Camille Petit;M. Jean-Paul de Rocca Serra;4
M. Jean Fontaine;M. Marcel Cerneau;4
M. Alain Vivien;M. Olivier Stirn;4
M. Claude Weber;M. Jean Fontaine;4
M. Claude Weber;M. Olivier Stirn;4
M. Claude Weber;M. Michel Debré;4
M. Aimé Césaire;M. Jean Fontaine;4
M. Jean Fontaine;M. Olivier Stirn;4
M. Jean Fontaine;M. Pierre Mauger;4
M. Jean Fontaine;M. Paul Dijoud;4
M. Paul Dijoud;M. Philippe Séguin;4
M. Gaston Flosse;M. Paul Dijoud;4
M. Joseph Franceschi;M. Michel Debré;4
M. Didier Julia;M. Jean Fontaine;4
M. Didier Julia;M. Michel Debré;4
M. Jean Fontaine;M. Marcel Esdras;4
M. Jean Fontaine;M. Wilfrid Bertile;4
M. Marcel Esdras;M. Michel Debré;4
M. Victor Sablé;M. Wilfrid Bertile;4
M. Michel Debré;M. Wilfrid Bertile;4
M. Camille Petit;M. Frédéric Jalton;4
M. Michel Debré;M. Robert Le Foll;4
M. Isidore Renouard;M. Victor Sablé;3
M. Louis Odru;M. Victor Sablé;3
M. Camille Petit;M. Louis Odru;3
M. Aimé Césaire;M. Jean-Paul de Rocca Serra;3
M. Hector Rivierez;M. Marcel Cerneau;3
M. Hector Rivierez;M. Jean-Paul de Rocca Serra;3
M. Marcel Cerneau;M. Victor Sablé;3
M. Camille Petit;M. Marcel Cerneau;3
M. Jean Fontaine;M. Louis Odru;3
M. Bernard Marie;M. Jean Fontaine;3
M. Charles Bignon;M. Jean Fontaine;3
M. Aimé Césaire;M. Claude Weber;3
M. Alain Vivien;M. Claude Weber;3
M. Aimé Césaire;M. Alain Vivien;3
M. Aimé Césaire;M. Olivier Stirn;3
M. Aimé Césaire;M. Frédéric Jalton;3
M. Alain Vivien;M. Jean-Paul de Rocca Serra;3
M. Frédéric Jalton;M. Jean-Paul de Rocca Serra;3
M. Emmanuel Hamel;M. Michel Debré;3
M. Hector Riviérez;M. Olivier Stirn;3
M. Marcel Cerneau;M. Olivier Stirn;3
M. Alain Vivien;M. Guy Guermeur;3
M. Claude Weber;M. Hector Riviérez;3
M. Claude Weber;M. Marcel Cerneau;3
M. Guy Guermeur;M. Michel Debré;3
M. Hector Riviérez;M. Michel Debré;3
M. Marcel Cerneau;M. Michel Debré;3
M. Hector Riviérez;M. Jean Fontaine;3
M. Hector Riviérez;M. Marcel Cerneau;3
M. Pierre Mauger;M. Victor Sablé;3
M. Joseph Franceschi;M. Philippe Séguin;3
M. Jean Fontaine;M. Philippe Séguin;3
M. Emmanuel Hamel;M. Paul Dijoud;3
M. Jean-Paul de Rocca Serra;M. Paul Dijoud;3
M. Benjamin Brial;M. Paul Dijoud;3
M. Jean-Paul de Rocca Serra;M. Philippe Séguin;3
M. Benjamin Brial;M. Philippe Séguin;3
M. Emmanuel Hamel;M. Michel Barnier;3
M. Jean-Paul de Rocca Serra;M. Robert Montdargent;3
M. Guy Guermeur;M. Jean-Paul de Rocca Serra;3
M. Michel Debré;M. Paul Dijoud;3
M. Gaston Flosse;M. Michel Debré;3
M. Gaston Flosse;M. Jean Fontaine;3
M. Didier Julia;M. Victor Sablé;3
M. Camille Petit;M. Didier Julia;3
M. Didier Julia;M. Marcel Esdras;3
M. Albert Pen;M. Didier Julia;3
M. Henri Emmanuelli;M. Jean Fontaine;3
M. Henri Emmanuelli;M. Marcel Esdras;3
M. Henri Emmanuelli;M. Victor Sablé;3
M. Henri Emmanuelli;M. Laurent Cathala;3
M. Henri Emmanuelli;M. Wilfrid Bertile;3
M. Henri Emmanuelli;M. Michel Debré;3
M. Jean Fontaine;M. Laurent Cathala;3
M. Ernest Moutoussamy;M. Jean Fontaine;3
M. Albert Pen;M. Jean Fontaine;3
