fichier;annee;valeur_francs;unite;contexte
7_cri_1984-1985-ordinaire1_080.txt;1984;112112626190103101440;Francs;vis des commissions = — 27 : projets de lois de finances. Codes N 33 07 27 OS 35 09 Titres. Assemblé. nationale s Débats: Compte rendu Questions Documents : Série ordinaire Série bu dg é ta ire Sénat t Compte rendu Questions Documents Francs. 112 112 626 190 103 103 626 Francs. 662 629 1 416 RB! 383 331 1 384 En cas de changement d ' adresse, joindre une bande d'envoi : votre demande. Pour expédition par voie aérienne, outre-mer et à l'étranger, paiement d ' un supplément modulé selon la
5_cri_1975-1976-ordinaire1_038.txt;1975;26200000000;F;"'article 30: s Art. 30. — Il est ouvert au ministre de la défense, pont. 1978, au titre des mesures nouvelles sur les dépenses en capital des services militaires, des autorisations de programme et des cré- dits de paiement s'élevant respectivement à 26 200 000 000 F et à 5 672 144 000 F, applicables au titre V Equipement s . 7642 ASSEMBLEE N_ 'JALE 3• SEANCE DU 30 OCTOBRE 1975 _ _d .es m . ms ms_ M. Le Theule a présenté un amendement n"" 154 ainsi conçu : • A l'article :30: t 1. — Réduire les"
5_cri_1974-1975-ordinaire1_046.txt;1974;24051952000;F;"'article 25: e Art. 25. — Il est ouvert au ministre de la défense pour 1975, au titre des mesures nouvelles, sur les dépenses en capital des services militaires, des autorisations de programme et des cré- dits de paiement s'élevant respectivement à 24 051 952 000 F et à 6 055 039 000 F, applicables au titre V e Equipement s. Dans la discussion de l'article 25, l'Assemblée s'est arrêtée cet après-midi à l'amendement n"" 153. Cet amendement, présenté par MM . Longequeue, Darinot, Aumont, Alainmat,"
5_cri_1974-1975-ordinaire1_046.txt;1974;6055039000;F;"5. — Il est ouvert au ministre de la défense pour 1975, au titre des mesures nouvelles, sur les dépenses en capital des services militaires, des autorisations de programme et des cré- dits de paiement s'élevant respectivement à 24 051 952 000 F et à 6 055 039 000 F, applicables au titre V e Equipement s. Dans la discussion de l'article 25, l'Assemblée s'est arrêtée cet après-midi à l'amendement n"" 153. Cet amendement, présenté par MM . Longequeue, Darinot, Aumont, Alainmat, Planeix, Antagnac et"
5_cri_1975-1976-ordinaire1_038.txt;1975;5672144000;F;". — Il est ouvert au ministre de la défense, pont. 1978, au titre des mesures nouvelles sur les dépenses en capital des services militaires, des autorisations de programme et des cré- dits de paiement s'élevant respectivement à 26 200 000 000 F et à 5 672 144 000 F, applicables au titre V Equipement s . 7642 ASSEMBLEE N_ 'JALE 3• SEANCE DU 30 OCTOBRE 1975 _ _d .es m . ms ms_ M. Le Theule a présenté un amendement n"" 154 ainsi conçu : • A l'article :30: t 1. — Réduire les autorisations de prog"
5_cri_1974-1975-ordinaire1_047.txt;1974;3947571000;francs;0 francs. En regard, je vois que pour les dix-sept Etats auxquels la France apporte sa coopération, dont certains ont des droits sur nous et qui représentent plusieurs dizaines de millions d'hommes, il est accordé dans le projet de budget pour 1975, 3 947 571 000 francs. Je m'aperçois aussi que les six territoires d'outre-mer reçoi- vent, de. leur côté, 870537000, francs. On peut celtes .« saucls'sonner s . un . -budget, 'mais encore faut-il le considérer dans son ensemble pour pouvoir porter un
6_cri_1979-1980-ordinaire1_032.txt;1979;3019086282;francs;"atie française .) M. le président. J'appelle les crédits inscrits à la ligne Trans- ports e . ETAT B Répartition des crédits applicables aux dépenses ordinaires des services civils (mesures nouvelles). « Titre III : 302 787 302 francs ; e Titre IV : 3 019 086 282 francs. ETAT C Répartition des autorisations de programme et des crédits de paiement applicables aux dépenses en capital des services civils (mesures nouvelles). TITRE V. — INVESTISSEMENTS EXÉCUTÉS PAR L'BTAT « Autorisations de programm"
6_cri_1979-1980-ordinaire1_032.txt;1979;2987000000;francs;"9 086 282 francs. ETAT C Répartition des autorisations de programme et des crédits de paiement applicables aux dépenses en capital des services civils (mesures nouvelles). TITRE V. — INVESTISSEMENTS EXÉCUTÉS PAR L'BTAT « Autorisations de programme : 2 987 000 000 francs ; « Crédits de paiement : 1 802 802 000 francs.» TITRE VI. — SUBVENTIONS D 'INVESTISSEMENT ACCORDÉES PAR L ' ETAT « Autorisations de programme : 2 646 625 000 francs ; « Crédits de paiement : 556 761 000 francs. » ETAT D Autorisa"
5_cri_1977-1978-ordinaire1_048.txt;1977;2943634448;francs;"J'appelle maintenant les crédits inscrits à la ligne e Travail et santé. — II : Travail s. ETAT .B Répartition des crédits applicables aux dépenses ordinaires des services civils (mesures nouvelles). e TITRE III : -147 259 368 francs ; TITRE IV : — 2 943 634 448 francs. s ETAT C Répartition des autorisations de programme et des crédits de. paiement applicables aux dépenses en capital des services civils (mesures nouvelles). TITRE VI. — SUBVENTIONS D 'INVESTISSEMENT ACCORDÉES FAR L'ETAT c Autori"
5_cri_1974-1975-ordinaire1_047.txt;1974;2845651000;francs;our le confort de la démonstration. Or les lumières existent dans ce budget . On prétend que vous voulez a larguera nos quatre départements d'outre-mer, mais je constate que le budget des dépenses civiles de ces départe- ments représente, pour 1975, 2 845 651 000 francs. En regard, je vois que pour les dix-sept Etats auxquels la France apporte sa coopération, dont certains ont des droits sur nous et qui représentent plusieurs dizaines de millions d'hommes, il est accordé dans le projet de budget
5_cri_1974-1975-ordinaire1_047.txt;1974;2845651000;francs;es des quatre départe- ments d'outre-mer que vous voulez e larguer a, paraît-il, qui ne regroupent pourtant que 800 000 hommes et qui sont loin d'avoir l'importance des Etats auxquels nous apportons notre coopération, se voient affecter un crédit de 2 845 651 000 francs. ,pui, lumière encore cet effort qui a été consenti pour l'infra- structure des îles, notamment, la Guyane étant peut-être moins favorisée en ce domaine. Lumière aussi ce qui a été fait pour nos familles, pour nos travailleurs, n
5_cri_1974-1975-ordinaire1_046.txt;1974;2795793742;francs;"00 francs et applicables au titre III «Moyens des armes et services s. « II. — Il est ouvert au ministre de la défense pour 1975, au titre des mesures nouvelles sur les dùprmses ordinaires des services militaires, des (médits s'élevant à la somme de 2 795 793 742 francs et applicables au titre III « Moyens des armes et services. » Le Gouvernement a présenté un amendement n"" 154 ainsi libellé : « I. — Dans le paragraphe I de l'article 24, réduire les autorisations de programme de 10 • millions de"
6_cri_1979-1980-ordinaire1_044.txt;1979;2743450000;francs;arquer de l'intérêt pour les problèmes des populations des territoires du Pacifique dont je l'entretenais. II aura servi l'Etat jusqu 'au bout . - L'effort budgétaire global de l'Etat en faveur des territoires d'outre-mer pour 1980 devrait atteindre 2 743 450 000 francs, soit 50 milliards de francs Pacifique environ. 1I correspond à 0,52 p. 100 des dépenses nettes du budget général 'et progresse de 12,4 p. 100 par rapport à celui de 1979, cette progression étant inférieure à celle de la moyenne
6_cri_1979-1980-ordinaire1_032.txt;1979;2646625000;francs;"les). TITRE V. — INVESTISSEMENTS EXÉCUTÉS PAR L'BTAT « Autorisations de programme : 2 987 000 000 francs ; « Crédits de paiement : 1 802 802 000 francs.» TITRE VI. — SUBVENTIONS D 'INVESTISSEMENT ACCORDÉES PAR L ' ETAT « Autorisations de programme : 2 646 625 000 francs ; « Crédits de paiement : 556 761 000 francs. » ETAT D Autorisations d'engagement accordées pa r anticipation sur les crédits à ouvrir en 1981. TITRE III IV. — Transports intérieurs. e Chap. 35-42. — Routes et circulation routièr"
5_cri_1975-1976-ordinaire1_038.txt;1975;2550000000;francs;l'état D. Article 29. M. le président . 'e Art 29. — I. — Il est ouvert au ministre de la défense, pour 1976. au titre des mesures nouvelles sur les dépenses ordinaires des ser vices militaires, des autorisations de programme s'élevant à la somme de 2 550 000 000 francs et applicables au titre III c Moyens des armes et services e IL — Il est ouvert au ministre de la défense, pour 1976, au titre des mesures nouvelles sur les dépenses ordinaires des ser- vices militaires, des crédits s'élevant à l
5_cri_1974-1975-ordinaire1_046.txt;1974;2411389000;francs;été réservé. Article 24. M. le président. « Art. 24. — I. — Il est ouvert au ministre de la défense pour 1975, au titre des mesures nouvelles sur les dépenses ordinaires des services militaires, des autorisations de programme s'élevant à la somme de 2 411 389 000 francs et applicables au titre III «Moyens des armes et services s. « II. — Il est ouvert au ministre de la défense pour 1975, au titre des mesures nouvelles sur les dùprmses ordinaires des services militaires, des (médits s'élevant à l
6_cri_1979-1980-ordinaire1_032.txt;1979;2161100000;francs;"B, je suis saisi de cieux amendements, n""' 242 et 340, pouvant être soumis à une discussion commune. L'amendement n"" 242, présenté par M . Icart, rapporteur général, M . Robert-André Vivien et M . Ginoux, est ainsi rédigé : s Réduire les crédits de 2 161 100 000 francs . a L'amendement n"" 340, présenté par MM . Gilbert Gantier, Féron, Wagner, est ainsi rédigé : « Réduire les crédits de 52 300 000 francs . » La parole est à M. Cornet, rapporteur spécial, pour soutenir l'amendement n"" 242. M. Pie"
6_cri_1979-1980-ordinaire1_032.txt;1979;2161100000;francs;spécial . Cet amendement a été adopté par la commission des finances sur l'initiative de son président M. Robert-André Vivien et de M . Henri Ginoux. Comme je l'ai indiqué ce matin en présentant mon rapport, son objet est de supprimer la dotation de 2 161 100 000 francs prévue pour 1980 eu faveur de la contribution de l'Etat aux t ransports publics parisiens qui figure au chapitre 46-41 de la section des transports terrestres. Chacun aura vite compris qu'il ne s'agit pas de remettre en cause de
6_cri_1979-1980-ordinaire1_032.txt;1979;2161100000;francs;"s inscrits dans la loi de finances n'engage en rien l'Assemblée sur le futur mode de gestion des transports parisiens. En revanche, le vote des amendements peut avoir des conséquences immédiates. L'amendement n"" 242 propose de réduire les crédits de 2 161 100 000 francs. Que se passera-t-il si cet amendement est adopté, c'est-à-dire si mes arguments selon lesquels il est possible de voter le texte budgétaire sans pour autant se déterminer sur le projet de loi déposé par le Gouvernement ne vous o"
