fichier;annee;pourcentage;contexte
2_cri_1964-1965-ordinaire1_021.txt;1964;3;Des études préliminaires effectuées par le commissariat géné- ral au plan, il ressort que - le nombre d'emplois à réer, de 1961 à 1970, devrait être de 137 .000, si l 'on veut tenir compte non seulement d'une augmentation moyenne de la population de 3 p. 100 par an, mais encore de la nécessité de résorber le sous-emploi. Quelles que soient les perspectives de développement de la production que l'on puisse attendre du V' Plan, il est évident que la croissance possible, même si elle est accélérée
2_cri_1964-1965-ordinaire1_021.txt;1964;15;ses débuts. Ce n'est, bien sûr, que dans quelques mois qu'il sera possible de porter un jugement sur l'efficacité de cette politique. Il pourrait toutefois être fait davantage en ce qui concerne le volume des primes accordées, qui est en moyenne de 15 p. 100 des investissements qui peuvent être primés, alors que la loi prévoit un maximum possible de 30 p . 100. Enfin, devrait être créé un bureau de développement industriel, intermédiaire entre les organismes publics et parapublics et les chefs
2_cri_1964-1965-ordinaire1_021.txt;1964;6;e manipulation à l'embarquement dont je n'ai pas le montant — je n'ai pu me procurer le renseignement en temps voulu pour le produire à la tribune — de la date de la L . ::ation à aujourd'hui, la moyenne compensée des charges noue les s'élève à 5 ou 6 p. 100, avec une augmentation de 15 p. 100, malgré le plan de stabilisa- tion, sur le fret transatlantique à compter du octobre. Au surplus, la loi du 10 juillet 1964 sur les calamités agri- coles a été étendue aux départements d'outre-mer, et il e
2_cri_1964-1965-ordinaire1_021.txt;1964;15;t je n'ai pas le montant — je n'ai pu me procurer le renseignement en temps voulu pour le produire à la tribune — de la date de la L . ::ation à aujourd'hui, la moyenne compensée des charges noue les s'élève à 5 ou 6 p. 100, avec une augmentation de 15 p. 100, malgré le plan de stabilisa- tion, sur le fret transatlantique à compter du octobre. Au surplus, la loi du 10 juillet 1964 sur les calamités agri- coles a été étendue aux départements d'outre-mer, et il est à craindre que, lors de la parut
2_cri_1964-1965-ordinaire1_021.txt;1964;80;nesse et la façonner en faveur des négriers modernes. Dans le même esprit, les crédits prévus pour la migration hors de leur pays de nombreux jeunes gens et jeunes filles passent de 9 millions de francs à plus de 14 millions de francs. Ainsi près de 80 p. 100 du budget dit a d'action sociale n se trouvent maintenant absorbés par cette forme très particulière d'action sociale. Rien n'existe dans le projet de loi de finances pour les départements d'outre-mer qui permettrait la mise en valeur des r
2_cri_1964-1965-ordinaire1_021.txt;1964;15;des jeunes des Antilles, de la Réunion et de la Guyane hors de leurs pays. Le montant global des dépenses de personnel du secrétariat des départements d'outre-mer est en progression de 23 p . 100, celui de l'administration préfectorale de l'ordre de 15 p. 100. Mais le chiffre est encore plus significatif pour les forces de répression puisqu'il est de 23 p . 100 en plus, compte tenu du fait que, de 1963 à 1964, l'augmentation fut de 13 p . 100. .Quant aux dépenses de matériel, nous posons la ques
2_cri_1964-1965-ordinaire1_021.txt;1964;35;s, devant votre Assemblée, en analyser d'ores et déjà les résultats. Tout d'abord, un bilan d'ensemble peut être fait dont les conclusions sont incontestables : le pouvoir d'achat des salariés a été considérablement relevé depuis 1962, en moyenne de 35 p. 100 environ pour les quatre départements . L'effort consenti en faveur des assistés, personnes âgées, aveugles, infirmes et grands infirmes a été augmenté dans des proportions très supé- rieures à celles de la métropole. La situation des salari
2_cri_1964-1965-ordinaire1_021.txt;1964;5.18;tte politique sera appliquée dans les départements d'outre-mer. A la même date, le salaire minimum réunionais sera fixé à 76,175 francs C .F.A . contre 73 F actuellement, ce qui correspond à une majoration de 4,35 p . 100 s'ajoutant au relèvement de 5,18 p. 100 intervenu en juillet 1964. Par conséquent, au 1°' janvier 1965, par le jeu des décisions prises depuis 1962, les salaires effectivement distribués auront augmenté de 32,6 p. 100 aux Antilles et en Guyane contre 16,8 p. 100 en métropole .
2_cri_1964-1965-ordinaire1_021.txt;1964;32.6;correspond à une majoration de 4,35 p . 100 s'ajoutant au relèvement de 5,18 p. 100 intervenu en juillet 1964. Par conséquent, au 1°' janvier 1965, par le jeu des décisions prises depuis 1962, les salaires effectivement distribués auront augmenté de 32,6 p. 100 aux Antilles et en Guyane contre 16,8 p. 100 en métropole . Pendant la même période, le pourcen- tage du relèvement à la Réunion aura été supérieur à 38 p . 100. Ainsi se trouve réalisé, mesdames, messieurs, l'engagement pris par le Gouve
2_cri_1964-1965-ordinaire1_021.txt;1964;16.8;'ajoutant au relèvement de 5,18 p. 100 intervenu en juillet 1964. Par conséquent, au 1°' janvier 1965, par le jeu des décisions prises depuis 1962, les salaires effectivement distribués auront augmenté de 32,6 p. 100 aux Antilles et en Guyane contre 16,8 p. 100 en métropole . Pendant la même période, le pourcen- tage du relèvement à la Réunion aura été supérieur à 38 p . 100. Ainsi se trouve réalisé, mesdames, messieurs, l'engagement pris par le Gouvernement, en janvier 1962, d'aligner le S .M .
2_cri_1964-1965-ordinaire1_021.txt;1964;12.5;ages vieillesse traditionnels ont subi de nombreux et substantiels relèvements en métropole . Il en a été de même, et dans les mêmes proportions, dans les départements d'outre-mer où l'allocation due aux vieux tre.vailleurs salariés a été majorée de 12,5 p. 100, l'allocation aux non-salariés de 34 p. 100 et l'allocation complémentaire au fonds national de solidarité de 50 p. 110. Quant à l'allocation militaire, elle est passée en avril dernier de 360 à 960 francs, soit une augmentation de 166 p.
2_cri_1964-1965-ordinaire1_021.txt;1964;34;reux et substantiels relèvements en métropole . Il en a été de même, et dans les mêmes proportions, dans les départements d'outre-mer où l'allocation due aux vieux tre.vailleurs salariés a été majorée de 12,5 p. 100, l'allocation aux non-salariés de 34 p. 100 et l'allocation complémentaire au fonds national de solidarité de 50 p. 110. Quant à l'allocation militaire, elle est passée en avril dernier de 360 à 960 francs, soit une augmentation de 166 p. 100. Pour ce qui est de l'aide sociale propre
2_cri_1964-1965-ordinaire1_021.txt;1964;166;ée de 12,5 p. 100, l'allocation aux non-salariés de 34 p. 100 et l'allocation complémentaire au fonds national de solidarité de 50 p. 110. Quant à l'allocation militaire, elle est passée en avril dernier de 360 à 960 francs, soit une augmentation de 166 p. 100. Pour ce qui est de l'aide sociale proprement dite — et je réponds ainsi à M . Albrand — les personnes âgées et les infirmes ont vu leurs avantages progresser de 191 p . 100 par rapport à septembre 1962. Parallèlement, les ressources des a
2_cri_1964-1965-ordinaire1_021.txt;1964;42;roprement dite — et je réponds ainsi à M . Albrand — les personnes âgées et les infirmes ont vu leurs avantages progresser de 191 p . 100 par rapport à septembre 1962. Parallèlement, les ressources des aveugles et grands infirmes étaient majorées de 42 p. 100, en ce qui concerne l'allocation principale, et de plus de 100 p. 100 pour l'allocation de compensation. Ainsi donc, en tenant compte (lu fonds national de solidarité, une personne âgée des départements d'outre-mer perçoit-elle, en 1964, un
2_cri_1964-1965-ordinaire1_021.txt;1964;100;ées et les infirmes ont vu leurs avantages progresser de 191 p . 100 par rapport à septembre 1962. Parallèlement, les ressources des aveugles et grands infirmes étaient majorées de 42 p. 100, en ce qui concerne l'allocation principale, et de plus de 100 p. 100 pour l'allocation de compensation. Ainsi donc, en tenant compte (lu fonds national de solidarité, une personne âgée des départements d'outre-mer perçoit-elle, en 1964, une allocation annuelle minimum de 1 .260 francs au lieu de 192 francs
2_cri_1964-1965-ordinaire1_021.txt;1964;550;on. Ainsi donc, en tenant compte (lu fonds national de solidarité, une personne âgée des départements d'outre-mer perçoit-elle, en 1964, une allocation annuelle minimum de 1 .260 francs au lieu de 192 francs en 1962, soit une augmentation de plus de 550 p. 100 en moins de deux années. Pour illustrer l'importance des mesures ainsi mises en place, j'indiquerai que les dépenses d'aide sociale de l'Etat sont passées de 65 millions de francs en 1962 à 80 millions de francs environ en 1963, soit une a
2_cri_1964-1965-ordinaire1_021.txt;1964;20;oins de deux années. Pour illustrer l'importance des mesures ainsi mises en place, j'indiquerai que les dépenses d'aide sociale de l'Etat sont passées de 65 millions de francs en 1962 à 80 millions de francs environ en 1963, soit une augmentation de 20 p. 100. Cette somme, n'est-il pas vrai, est considérable . Elle est d'autant plus signifi- cative de l'effort accompli qu'elle ne comprend pas, comme en 1962, les dépenses d'allocations militaires qui, ainsi que vous le savez, ne sont plus à la ch
2_cri_1964-1965-ordinaire1_021.txt;1964;25;"depuis longtemps, est maintenant possible dans des secteurs consi- dérés comme prioritaires dans l'intérêt des familles. Les allocations familiales, relevées en moyenne de 30 p . 100 en 1962, puis (le 60 p . 100 en 1963, viennent d'être majorées de 25 p. 100 environ par l'arrêté du 24 juillet 1964. Ce texte qui fixe le taux des prestations au 1"" janvier 1965, réalise comme prévu l'alignement des départements d'outre-mer sur la zone 6 de la métropole, compte tenu des abattements néces- saires au"
2_cri_1964-1965-ordinaire1_021.txt;1964;155;"sur la zone 6 de la métropole, compte tenu des abattements néces- saires au financement du fonds d'action sanitaire et sociale. Par rapport au 1"" janvier 1962, les familles de trois enfants auront vu au 1"" janvier 1965 leurs allocations augmenter de 155 p. 100 aux Antilles et en Guyane, 'e pourcentage de relè- vement pour une famille de quatre enfants étant de 203 p . 100. A la Réunion, la majoration aura atteint respectivement pour chacune de ces deux catégories de familles 177 p. 100 et 220 p."
2_cri_1964-1965-ordinaire1_021.txt;1964;177;ations augmenter de 155 p. 100 aux Antilles et en Guyane, 'e pourcentage de relè- vement pour une famille de quatre enfants étant de 203 p . 100. A la Réunion, la majoration aura atteint respectivement pour chacune de ces deux catégories de familles 177 p. 100 et 220 p. 100. En ce qui concerne l'élargissement du champ d'action du fonds d'action sanitaire et sociale, les opérations suivantes ont été considérées comme prioritaires : organisation et fonction- nement des cantines scolaires, de façon
2_cri_1964-1965-ordinaire1_021.txt;1964;220;er de 155 p. 100 aux Antilles et en Guyane, 'e pourcentage de relè- vement pour une famille de quatre enfants étant de 203 p . 100. A la Réunion, la majoration aura atteint respectivement pour chacune de ces deux catégories de familles 177 p. 100 et 220 p. 100. En ce qui concerne l'élargissement du champ d'action du fonds d'action sanitaire et sociale, les opérations suivantes ont été considérées comme prioritaires : organisation et fonction- nement des cantines scolaires, de façon qu'un repas g
