lieu;mentions
métropole;1502
la Réunion;982
Guadeloupe;825
Paris;820
Guyane;748
Antilles;687
Martinique;639
Maurice;321
Réunion;191
Afrique;180
Saint-Denis;140
réunion;132
Lyon;104
Nantes;82
Bordeaux;71
Fort-de-France;63
Pointe-à-Pitre;55
Marseille;52
la réunion;49
La Réunion;45
Cayenne;39
PARIS;24
Madagascar;17
dom;10
Métropole;7
paris;7
Haïti;6
GUADELOUPE;6
La réunion;4
ANTILLES;4
LA RÉUNION;4
RÉUNION;3
SAINT-DENIS;3
DOM;2
nantes;1
Rush del Campo;1
lyon;1
Simandes;1
doM;1
Dom;1
