fichier;annee;valeur_francs;unite;contexte
5_cri_1974-1975-ordinaire1_047.txt;1974;3947571000;francs;0 francs. En regard, je vois que pour les dix-sept Etats auxquels la France apporte sa coopération, dont certains ont des droits sur nous et qui représentent plusieurs dizaines de millions d'hommes, il est accordé dans le projet de budget pour 1975, 3 947 571 000 francs. Je m'aperçois aussi que les six territoires d'outre-mer reçoi- vent, de. leur côté, 870537000, francs. On peut celtes .« saucls'sonner s . un . -budget, 'mais encore faut-il le considérer dans son ensemble pour pouvoir porter un
6_cri_1979-1980-ordinaire1_032.txt;1979;3019086282;francs;"atie française .) M. le président. J'appelle les crédits inscrits à la ligne Trans- ports e . ETAT B Répartition des crédits applicables aux dépenses ordinaires des services civils (mesures nouvelles). « Titre III : 302 787 302 francs ; e Titre IV : 3 019 086 282 francs. ETAT C Répartition des autorisations de programme et des crédits de paiement applicables aux dépenses en capital des services civils (mesures nouvelles). TITRE V. — INVESTISSEMENTS EXÉCUTÉS PAR L'BTAT « Autorisations de programm"
6_cri_1979-1980-ordinaire1_032.txt;1979;2987000000;francs;"9 086 282 francs. ETAT C Répartition des autorisations de programme et des crédits de paiement applicables aux dépenses en capital des services civils (mesures nouvelles). TITRE V. — INVESTISSEMENTS EXÉCUTÉS PAR L'BTAT « Autorisations de programme : 2 987 000 000 francs ; « Crédits de paiement : 1 802 802 000 francs.» TITRE VI. — SUBVENTIONS D 'INVESTISSEMENT ACCORDÉES PAR L ' ETAT « Autorisations de programme : 2 646 625 000 francs ; « Crédits de paiement : 556 761 000 francs. » ETAT D Autorisa"
5_cri_1977-1978-ordinaire1_048.txt;1977;2943634448;francs;"J'appelle maintenant les crédits inscrits à la ligne e Travail et santé. — II : Travail s. ETAT .B Répartition des crédits applicables aux dépenses ordinaires des services civils (mesures nouvelles). e TITRE III : -147 259 368 francs ; TITRE IV : — 2 943 634 448 francs. s ETAT C Répartition des autorisations de programme et des crédits de. paiement applicables aux dépenses en capital des services civils (mesures nouvelles). TITRE VI. — SUBVENTIONS D 'INVESTISSEMENT ACCORDÉES FAR L'ETAT c Autori"
5_cri_1974-1975-ordinaire1_047.txt;1974;2845651000;francs;our le confort de la démonstration. Or les lumières existent dans ce budget . On prétend que vous voulez a larguera nos quatre départements d'outre-mer, mais je constate que le budget des dépenses civiles de ces départe- ments représente, pour 1975, 2 845 651 000 francs. En regard, je vois que pour les dix-sept Etats auxquels la France apporte sa coopération, dont certains ont des droits sur nous et qui représentent plusieurs dizaines de millions d'hommes, il est accordé dans le projet de budget
5_cri_1974-1975-ordinaire1_047.txt;1974;2845651000;francs;es des quatre départe- ments d'outre-mer que vous voulez e larguer a, paraît-il, qui ne regroupent pourtant que 800 000 hommes et qui sont loin d'avoir l'importance des Etats auxquels nous apportons notre coopération, se voient affecter un crédit de 2 845 651 000 francs. ,pui, lumière encore cet effort qui a été consenti pour l'infra- structure des îles, notamment, la Guyane étant peut-être moins favorisée en ce domaine. Lumière aussi ce qui a été fait pour nos familles, pour nos travailleurs, n
5_cri_1974-1975-ordinaire1_046.txt;1974;2795793742;francs;"00 francs et applicables au titre III «Moyens des armes et services s. « II. — Il est ouvert au ministre de la défense pour 1975, au titre des mesures nouvelles sur les dùprmses ordinaires des services militaires, des (médits s'élevant à la somme de 2 795 793 742 francs et applicables au titre III « Moyens des armes et services. » Le Gouvernement a présenté un amendement n"" 154 ainsi libellé : « I. — Dans le paragraphe I de l'article 24, réduire les autorisations de programme de 10 • millions de"
6_cri_1979-1980-ordinaire1_044.txt;1979;2743450000;francs;arquer de l'intérêt pour les problèmes des populations des territoires du Pacifique dont je l'entretenais. II aura servi l'Etat jusqu 'au bout . - L'effort budgétaire global de l'Etat en faveur des territoires d'outre-mer pour 1980 devrait atteindre 2 743 450 000 francs, soit 50 milliards de francs Pacifique environ. 1I correspond à 0,52 p. 100 des dépenses nettes du budget général 'et progresse de 12,4 p. 100 par rapport à celui de 1979, cette progression étant inférieure à celle de la moyenne
6_cri_1979-1980-ordinaire1_032.txt;1979;2646625000;francs;"les). TITRE V. — INVESTISSEMENTS EXÉCUTÉS PAR L'BTAT « Autorisations de programme : 2 987 000 000 francs ; « Crédits de paiement : 1 802 802 000 francs.» TITRE VI. — SUBVENTIONS D 'INVESTISSEMENT ACCORDÉES PAR L ' ETAT « Autorisations de programme : 2 646 625 000 francs ; « Crédits de paiement : 556 761 000 francs. » ETAT D Autorisations d'engagement accordées pa r anticipation sur les crédits à ouvrir en 1981. TITRE III IV. — Transports intérieurs. e Chap. 35-42. — Routes et circulation routièr"
5_cri_1975-1976-ordinaire1_038.txt;1975;2550000000;francs;l'état D. Article 29. M. le président . 'e Art 29. — I. — Il est ouvert au ministre de la défense, pour 1976. au titre des mesures nouvelles sur les dépenses ordinaires des ser vices militaires, des autorisations de programme s'élevant à la somme de 2 550 000 000 francs et applicables au titre III c Moyens des armes et services e IL — Il est ouvert au ministre de la défense, pour 1976, au titre des mesures nouvelles sur les dépenses ordinaires des ser- vices militaires, des crédits s'élevant à l
5_cri_1974-1975-ordinaire1_046.txt;1974;2411389000;francs;été réservé. Article 24. M. le président. « Art. 24. — I. — Il est ouvert au ministre de la défense pour 1975, au titre des mesures nouvelles sur les dépenses ordinaires des services militaires, des autorisations de programme s'élevant à la somme de 2 411 389 000 francs et applicables au titre III «Moyens des armes et services s. « II. — Il est ouvert au ministre de la défense pour 1975, au titre des mesures nouvelles sur les dùprmses ordinaires des services militaires, des (médits s'élevant à l
