fichier;annee;nombre;unite;contexte
4_cri_1970-1971-ordinaire1_060.txt;1970;1250000;habitants;émographique est, de loin, la question qui nous préoccupe le plus. En treize ans, la population de la Réunion a augmenté de 51 p. 100, tandis que celle des Antilles progressait de 36 p . 100. A l'heure actuelle, les départements d'outre-mer comptent 1.250.000 habitants, dont plus de la moitié ont moins de vingt ans. Seul, un adulte sur cinq travaille . Une personne doit pou- voir en faire vivre cinq autres . Cette situation est intolérable. C'est vous dire que le mal endémique et sournois que l'
4_cri_1971-1972-ordinaire1_024.txt;1971;1165000;habitants;effet, les moyens à mettre en oeuvre pour améliorer le de ce genre mises sur pied hâtivement. niveau de vie dépendent évidemment de l'importance de la M. le président. Monsieur Renouard, il faut conclure: vous ne population. Or, celle-ci s'élevait à 1.165.000 habitants en 1970, disposez pas du même temps de parole que _le rapporteur au soit 51 p. 100 de plus qu'en 1954, alors qu'en métropole le pour- fond. centage d'accroissement n'était que de 20 p . 100 pendant la même période. M. Isidore Reno
7_cri_1984-1985-ordinaire1_080.txt;1984;965000;personnes;ge non indemnisé et prioritairement. après tous les chiffres souvent exc'e,ssifs, avancés ici ou là, de disposer d 'un point objectif sur le nombre récif de demandeui s d'empt ii ne bénéficiant tas d'une indemni- fation . L'Unedic évalue ce nombre à 965 000 personnes. Dan, cet effectif, sont inclus h• . 65000 chômeurs auxquels vous faites référence, monsieur le député, et pour lesquels l'allo- cation d ' insertion n 'est servie qu 'après un délai d 'attente dont le point de départ est l'inscript
5_qst_5-qst-1975-07-19.txt;1975;830000;habitants;juillet 1975. — M. Combrisson attire l' attention de M. le ministre des finances sur les conditions de fonctionnement des services fiscaux de l'Essonne. Alors que l'extension démogra- phique de ce département se poursuit, la population est passée de 830000 habitants en 1968 à plus de 1100000 en 1975, les services fiscaux n'ont pas été dotés de moyens leur permettant de faire face à cette situation nouvelle. Au niveau des effectifs, les services sont déficitaires et nécessiteraient le recrutement
6_cri_1978-1979-ordinaire1_058.txt;1978;800000;personnes;ure et de la communication si, dans le cadre des émissions radiophoniques du dimanche matin, une séquence ne pour- rait pas être réservée à nos compatriotes français de confession islamique. Il s'étonne que cette catégorie de Français avoisinant les 800 000 personnes ne puisse pas bénéficier, au même titre que d 'autres catégories, d 'un temps d 'antenne. Politique extérieure (Algérie). 8664. — 16 novembre 1978. — M. Michel Noir demande à M. I. ministre des affaires étrangères quelles démarches
6_cri_1979-1980-ordinaire1_032.txt;1979;780000;travailleurs;e tonnes-kilomètre. Le trafic passager des compagnies aériennes françaises à dépassé les 32 milliards de passagers• kilomètre et le chiffre d'affaires de l'armement maritime a été de l'ordre de 10 milliards (le francs . Le transport occupe, en 1979, 780 000 travailleurs. soit un accroissement de 1,7 p. 100 par rapport à 1977 contre 0,5 p. 100 pour le total des salariés. En y incluant le transport pour compte propre, ce sont environ 1 million d'emplois qui sont concernés par cette activité . Enfi
5_cri_1976-1977-ordinaire2_051.txt;1976;755990;habitants;du Gouvernement en matière d'équipements collectifs, logements sociaux et les résultats de la même politique d'austérité sur le revenu des ménages. Pourtant, d 'après le recensement de 1975, 294 400 logements sont surpeuplés, soit 23,3 p. 100. Ainsi 755990 habitants sont logés à l'étroit dans les Pays de la Loire . Cependant, 70 000 logements étaient vacants à la même époque . D 'autre part, un logement sur deux n'a pas le confort minimum (w .-c., baignoire ou douche, chauffage central) et, en 1
5_cri_1975-1976-ordinaire1_058.txt;1975;754000;habitants;90 000 kilo- mètres carrés ne comptent que 50 000 habitants. ce qui exclut toute économie d'autoconsommation. Nous en mourrons.. de ce sous-peuplement. D'autre part, quand on fait la comparaison avec la Guyane anglaise . l'actuelle Guyana, avec ses 754 000 habitants, ou avec la Guyane hollandaise, devenue le Surinam, peuplée de 419 000 habitants. on comprend la nécessité d'un peuplement pour le développement économique de la Guyane française. Vous avez parlé, monsieur le secrétaire d'Etat, de l
4_cri_1971-1972-ordinaire1_067.txt;1971;700000;habitants;"Larzac, ont pu étre menées sans que soient consultés, même indirectement, ni les collectivités locales, ni les agriculteurs intéressés ; 2"" si le choix qui a été retenu du site de Larzac tient compte des languedocien qui, de Béziers à Nîmes, groupe 700.000 habitants; quelles précisions, chiffrées et situées dans le temps, il peut fournir quant aux compensations économiques qui ont été- annoncées, en termes d'aménagement, de création d 'emplois, de ressources fiscales pour les collectivités et d"
6_cri_1979-1980-ordinaire1_113.txt;1979;700000;personnes;seront préle- vées sur les prestations légales. Par ailleurs, vous évaluez pour 1979 le nombre des bénéfi- ciaires des prestations d'aide ménagère à 280 000, alors que les documents pré paratoires du VI` Plan faisaient état avant 1970 du chiffre de 700 000 personnes intéressées et le fameux rap- port Laroque. qui date de 1962, demandait que l'accent soit « mis par priorité sur la nécessité d'intégrer les personnes âgées dans la société tout en leur fournissant les moyens de continuer le plus lo
7_cri_1983-1984-ordinaire2_008.txt;1983;700000;habitants;"tels qu'ils ont été publiés . .. Mme Georgina Dufoin, secrétaire d'Etat. Moi aussi ! M. Michel Debré. . . . dans Faits et chiffres réunionnais, édi- tion de 1984 : sans venue en métropole, dans vingt ans, la population réunionnaise atteindra près de 700 000 habitants ; avec une venue en métropole stabilisée au chiffre de 1981 . elle sera (le l'ordre de 550 000, et si l'on reprend la politique des deux dernières décennies, elle sera de 510 000 habitants . Ces chiffres sont clairs : l'arrêt de la"
7_cri_1984-1985-ordinaire1_080.txt;1984;700000;habitants;"ans les circonstances présentes. Ensuite il y a une augmentation brutale de la population. Avec l'arrêt de la mobilité, quelles sont les perspectives ? Avant cinq ans : 600 000 habitants : avant dix ans : 650 000 habitants; dans quinze ans : plus de 700 000 habitants . Compte tenu des possibilités de développement économique, c'est le draine certain, d'autant plus que les équipements d'Etat seront insuffisants et qu'il faudra non seulement en matière d'écoles, mais en matière d'énergie élect riq"
7_cri_1984-1985-ordinaire1_080.txt;1984;700000;habitants;ive, il lui demande avec la plus vive insistance d'expliquer comment II espère créer des emplois en nombre suffisant et les équipements correspondant aux besoins d 'une population qui, dans ces conditions, risque d'atteindre un chiffre de l'ordre de 700000 habitants aux environs de l'an 2000, selon les estimations disponibles les plus récentes.* ASSEMRLEE NATIONALE — 9R-Ag« D1J 23 NOVEMBRE 1984 6323 l 'in,erten et la prontutu,n des iratallleur'. d 'entre Iller à passer une cunsentLon arec l' .\
7_cri_1984-1985-ordinaire1_080.txt;1984;650000;habitants;"au ne peut être créé dans les conditions et dans les circonstances présentes. Ensuite il y a une augmentation brutale de la population. Avec l'arrêt de la mobilité, quelles sont les perspectives ? Avant cinq ans : 600 000 habitants : avant dix ans : 650 000 habitants; dans quinze ans : plus de 700 000 habitants . Compte tenu des possibilités de développement économique, c'est le draine certain, d'autant plus que les équipements d'Etat seront insuffisants et qu'il faudra non seulement en matière"
5_cri_1974-1975-ordinaire1_046.txt;1974;606000;personnes;: la formation professionnelle, la réforme fon- cière et la situation financière des communes d'outre-mer. En ce qui concerne la formation professionnelle, quelques chiffres éloquents soulignent l'importance de l'action à mener en cette matière. Sur 606 000 personnes ayant plus de dix-huit ans on comptait, en 1973, 289 000 actifs ayant un emploi régu- lier, 52 890 chômeurs partiels ou occasionnels, 41 190 chômeurs totaux et 221 500 inactifs ne cherchant pas d'emploi. 6222 ASSEMBLEE NATIONALE —
7_cri_1984-1985-ordinaire1_080.txt;1984;600000;habitants;"ve en Réunion car aucun emploi nouveau ne peut être créé dans les conditions et dans les circonstances présentes. Ensuite il y a une augmentation brutale de la population. Avec l'arrêt de la mobilité, quelles sont les perspectives ? Avant cinq ans : 600 000 habitants : avant dix ans : 650 000 habitants; dans quinze ans : plus de 700 000 habitants . Compte tenu des possibilités de développement économique, c'est le draine certain, d'autant plus que les équipements d'Etat seront insuffisants et qu"
8_cri_1986-1987-ordinaire1_085.txt;1986;600000;habitants;a reprise de la mobilité officielle. J'évoquais récemment l'exposition « Réunion an 2000 », qui se tient actuellement à Saint-Denis-de-la-Réunion. On peut y voir un premier graphique qui montre que, sans mobi- lité des Réunionnais, il y aura plus de 600 000 habitants à la Réunion dans quinze ans. Ce nombre n'est supportable ni du point de vue dè la lutte contre le chômage ni quant à la capacité de la métropole à venir en aide à ce département . Il faut donc absolument trouver des emplois en métr
5_cri_1975-1976-ordinaire2_086.txt;1975;574000;personnes;a en aucune façon résolu le problème de la formation dans la mesure où le rapport révèle encore que « entre 1963 et 1973 . la population de jeunes, de quinze à dix-neuf ans, ni scolarisés, ni en activité, ni en apprentissage, est passée de 142 000 à 574 000 personnes soit quatre fois plus en dix ans. C'est donc à la fois votre politique économique et sociale et celle de l'enseignement qui sont en cause. En prévoyant que 35 à 40 p. 100 des jeunes quitteront l'école sans avoir reçu une formation d
8_cri_1986-1987-ordinaire1_090.txt;1986;550000;habitants;iers de signatures déposées hier à la préfecture de la Réunion . Mais l'auteur de ces propos ne savait pas que j'avais lu son propre journal, celui du parti communiste, Témoignage. avant qu'il vous parle lui-même ce soir. Alors que la Réunion compte 550 000 habitants, 12 000 pétitions ont été déposées hier, et lorsqu'on se rappelle qu'il y a plus de 10 000 employés com- munaux dans les communes communistes, on aura vite fait le compte des pétitionnaires. qui ne représentent pas la volonté popula
6_cri_1978-1979-ordinaire1_058.txt;1978;511110;habitants;"pompier est incompatible :nec les fonctions rie maire, de maire• adjoint el. de garde•champétre . Encore, clans c cas, serait-il soit- traitable d 'eneisager la possibilité de dérogations, décidées par les préfets, pour les rnnununes entre 100 :1 et 511110 habitants par exemple. li lui denieede quelle est sa position en ce qui eoneerne le; suggestions qu 'il tient de lui présenter. Réponse. -- L 'incompatibilité entre les t'onctiotts de maire et de sapeur-ponmpier est .justifiée par le fait que"
