article;mentions
2;44
3;36
1;35
9;31
4;30
10;29
6;27
8;27
5;26
13;25
12;25
139;24
7;23
11;21
40;19
14;19
17;18
73;17
23;17
15;16
16;16
27;16
34;16
18;16
20;16
133;16
39;15
22;15
21;14
30;14
38;14
54;13
25;13
48;13
72;12
19;12
26;12
24;11
28;11
32;11
33;11
31;10
37;10
42;10
29;10
62;10
138;9
49;9
156;8
35;8
74;8
78;8
45;8
99;8
79;7
77;7
61;7
89;7
69;6
238;6
70;6
793;6
173;6
58;6
162;6
150;6
52;6
83;6
91;6
56;6
41;6
46;5
60;5
64;5
206;5
65;5
257;5
47;5
514;5
145;5
44;5
50;5
227;4
85;4
1373;4
710;4
81;4
55;4
71;4
88;4
144;4
302;4
43;4
66;4
92;4
67;4
80;4
57;4
261;4
282;4
53;4
36;4
208;4
101;3
1372;3
164;3
188;3
51;3
675;3
714;3
68;3
483;3
513;3
136;3
194;3
280;3
119;3
158;3
82;3
195;3
75;3
59;3
213;3
76;3
151;2
159;2
016;2
1649;2
1932;2
207;2
263;2
670;2
791;2
809;2
93;2
1401;2
157;2
163;2
295;2
384A;2
121;2
378;2
845;2
237;2
152;2
470;2
847;2
97;2
115;2
148;2
196;2
209;2
674;2
999;2
553;2
666;2
1122;2
310;2
393;2
87;2
1144;2
258;2
314;2
168;2
357;2
366;2
647;2
777;2
146;2
155;2
185;2
260;2
240;2
241;2
1406;2
175;2
170;2
691;2
830;2
700;2
110;2
94;2
90;2
190;1
104;1
1241;1
1290;1
1309;1
1341;1
1384;1
1441;1
1603;1
1756;1
1897;1
221;1
223;1
2262;1
230;1
256;1
268;1
275;1
524;1
679;1
721;1
726;1
727;1
766;1
832;1
84;1
879;1
96;1
1211;1
169;1
214;1
231;1
544;1
1350;1
1630;1
1344;1
1725;1
1243;1
126;1
15611;1
182;1
219;1
234;1
299;1
301;1
307;1
322;1
325;1
433;1
484;1
520;1
799;1
1061;1
1152;1
128;1
180;1
218;1
279;1
405;1
838;1
972;1
774;1
0023;1
1371;1
1509;1
2270;1
313;1
363;1
3d;1
620;1
63;1
663;1
685;1
728;1
111;1
137i;1
15641;1
1590;1
1727;1
1785;1
1840;1
226;1
265;1
285;1
384;1
502;1
699;1
762;1
137;1
1542;1
166;1
235;1
244;1
31D;1
347;1
541;1
1153;1
122;1
153;1
161;1
1P;1
339;1
340;1
477;1
499;1
501;1
605;1
114;1
181;1
1930;1
215;1
217;1
618;1
1110;1
1779;1
1953;1
337;1
1075;1
14A;1
350;1
100;1
1183;1
1383;1
1424;1
1469;1
178;1
284;1
543;1
98;1
135;1
86;1
1415;1
1585;1
7z;1
323;1
687;1
272;1
342;1
940;1
967;1
2411;1
141;1
1414;1
2663;1
2801;1
7382;1
1042;1
1154;1
1382;1
1426;1
1427;1
1952;1
1966;1
860;1
870;1
1553;1
210;1
585;1
992;1
140;1
123;1
160;1
379;1
786;1
815;1
850;1
1063;1
131;1
1568;1
133i;1
1465;1
702;1
705;1
807;1
1728;1
118;1
95;1
276;1
453;1
1009;1
142;1
1957;1
304;1
713;1
110G;1
179;1
1792;1
1954;1
109;1
102;1
416;1
1994;1
202;1
239;1
242;1
361;1
1655;1
1678;1
199;1
1l;1
233;1
403;1
575;1
105;1
106;1
113;1
355;1
120;1
1142;1
1411;1
