date;mentions
19 octobre 1981;306
25 août 1980;189
27 avril 1974;141
8 septembre 1980;136
4 mai 1977;121
19 juillet 1975;118
12 septembre 1964;94
26 juin 1976;75
26 avril 1979;71
4 OCTOBRE 1958;70
20 octobre 1978;66
13 février 1969;63
15 novembre 1977;62
16 novembre 1978;56
19 NOVEMBRE 1976;55
31 OCTOBRE 1979;55
27 octobre 1973;54
27 septembre 1975;52
2 novembre 1967;49
15 NOVEMBRE 1978;47
19 novembre 1971;44
20 juin 1972;42
12 novembre 1974;41
26 OCTOBRE 1973;40
30 OCTOBRE 1975;40
27 Avril 1974;40
19 Juillet 1975;40
23 OCTOBRE 1979;40
12 Septembre 1964;39
19 NOVEMBRE 1970;39
15 Février 1969;39
7 février 1969;39
23 Août 1969;39
10 Juillet 1971;39
29 Juillet 1972;39
12 OCTOBRE 1973;39
6 décembre 1973;39
14 NOVEMBRE 1977;39
24 juillet 1966;38
26 OCTOBRE 1970;38
15 AVRIL 1971;38
11 juillet 1968;38
12 NOVEMBRE 1974;38
25 JUIN 1976;38
21 décembre 1978;38
8 Septembre 1980;38
5 NOVEMBRE 1982;38
19 Octobre 1981;38
15 avril 1971;37
21 NOVEMBRE 1972;37
14 août 1969;37
8 juillet 1971;37
19 OCTOBRE 1978;37
9 NOVEMBRE 1978;37
27 Septembre 1969;36
22 juin 1972;36
13 NOVEMBRE 1975;36
3 MAI 1977;36
25 AVRIL 1979;36
5 DECEMBRE 1973;35
25 Août 1980;35
19 octobre 1931;34
16 juillet 1971;33
21 novembre 1972;33
5 novembre 1969;32
4 juin 1977;32
27 NOVEMBRE 1986;32
26 octobre 1970;31
19 NOVEMBRE 1971;31
11 février 1969;31
15 mars 1963;30
13 octobre 1973;30
12 juillet 1966;29
31 décembre 1970;29
8 août 1969;29
14 juin 1969;29
26 NOVEMBRE 1986;29
30 juin 1975;28
16 NOVEMBRE 1970;27
24 septembre 1969;27
26 décembre 1964;26
5 juillet 1971;26
23 juin 1972;26
20 DECEMBRE 1978;26
10 JUIN 1980;26
31 juillet 1968;25
7 juillet 1971;25
10 JUILLET 1986;25
10 juillet 1964;24
21 juin 1972;24
5 NOVEMBRE 1981;24
28 MAI 1986;24
8 août 1962;23
31 octobre 1975;23
30 SEPTEMBRE 1982;23
21 OCTOBRE 1987;23
6 janvier 1966;22
9 novembre 1968;22
19 août 1969;22
3 JUIN 1977;22
14 JUIN 1982;22
19 mars 1946;21
23 septembre 1967;21
23 septembre 1969;21
