annee;documents;cri;qst;montants;montant_total_francs;montant_max_francs;effectifs;effectif_total;effectif_max;pourcentages;logements
1964;2;1;1;72;17432559;900000;12;304601;200000;87;13
1966;1;1;0;38;14623098;900000;5;1207000;500000;47;2
1967;1;1;0;56;20689045;986484;4;1240000;469000;40;13
1968;2;1;0;58;22044034;950000;11;1348115;320000;52;4
1969;5;2;3;214;37088892;980084;18;1036064;300000;237;17
1970;4;4;0;147;35053957;985182;16;2645600;1250000;163;12
1971;3;2;1;88;22031148;926593;13;2266690;1165000;117;5
1972;3;2;1;56;7193707;857188;6;501144;300000;118;7
1973;3;3;0;184;52359878;995000;16;974000;200000;104;7
1974;3;2;1;75;47072986434;24051952000;9;1112659;606000;114;7
1975;6;5;1;102;37481796625;26200000000;35;3523975;830000;207;17
1976;4;4;0;68;5439412720;1687030000;16;1240128;755990;94;13
1977;2;2;0;25;4093559666;2943634448;8;272500;100000;79;3
1978;7;7;0;114;9344064517;2000122960;13;1812110;800000;271;26
1979;6;6;0;66;23809948331;3019086282;23;3600780;780000;175;7
1980;2;0;2;305;760265806;294174000;26;2001880;486275;202;5
1981;4;3;1;32;501602907;279600000;14;1410000;400000;80;2
1982;1;1;0;21;1111578353;338097000;4;26300;15000;107;0
1983;2;2;0;20;42380360;32125000;6;1454000;700000;62;2
1984;2;2;0;32;112112626190975107072;112112626190103101440;8;3783000;965000;31;6
1985;2;2;0;8;1775500;1283000;3;80000;60000;41;1
1986;5;5;0;34;85148235;76987589;18;2935076;600000;116;4
1987;1;1;0;7;808266;692759;1;22000;22000;49;3
