"annee";"budget_francs";"confiance";"fichier";"contexte"
"1964";"13500000";"large";"";"ASSEMIILEE NATION :U .F: — 2' SF.ANCE DII 22 (M'EMMEE 196i 3703 Mais, jusqu'à maintenant — bai eu l'occasion de vous le dire en commission — les mesures annoncées n'ont pas été suivies d'effets. Mme J"
"1966";"107267863";"large";"";"ASSEMBLÉE NAFION .tLE — 2"" Sl .tNt:E DI' 2u Ot :IOBI1E 1966 3651 Voilà pourquoi la départementalisation, créatrice de liberté et de dignité, n'est pas à mes yeux une simple formule juri- dique ou admi"
"1967";"2240000";"large";"";"ASSl Mttl.t:E N.\'Ilt1N.\l.E — SE.\NCE DU 2 No\'li\Iltlth 19(17 4351 Si je suis partisan de la départementalisation c'est par conviction personnelle, bien sûr, mais c'est aussi parce que les populatio"
"1968";"300200000";"large";"";"4248 ASSEIIBLEE NATIONALE — S' SEANCE DU 9 NOVEMI31iE 1968 M. Jean-Paul dé Roeca Serra, rapporteur spécial. Monsieur le secrétaire d'Etat, mes chers collègues, dans le projet de budget pour 1969, les "
"1969";"400000000";"large";"";"2056 A~til(\IRLI{I: N :A'l'i1lN \LI? 23 Août 1969 notamment la liberté des prix et des plantations, ainsi que la possi- bilité d 'importations, sans restriction avec seulement la seule pro- tection du"
"1970";"50000000";"large";"";"ASSEMBLEE NATIONALE SEANCE DU 19 NOVEMBRE 1970 5813 des établissements ou services publics . Dans la mesure où il semble que c'est cette action que l 'honorable parlementaire met en cause, il n'en res"
"1972";"12000000";"large";"";"ASSEMBLEE NATIONALE — SEANCE DU 21 NOVEMBRE 1972 5545 Dès 1962, le Fonds de développement économique et social et le Fonds d 'action sociale pour l'amélioration des structures agricoles ont aidé les t"
"1973";"8670000";"large";"";"Re ASSEMBLEE NATIONALE — SEANCE DU 26 OCTOBRE 1973 4925 mesure s'accompagne d'une réduction des crédits affectés à la rémunération des personnels d'exécution, dont l'effectif sera réduit de quarante e"
"1974";"412000000";"large";"";"ASSEMBLEE NATIONALE — 3' SEANCE DU 12 NOVEMBRE 1974 6225 métropole. Ces mesures ne sont pas une fin en soi et, comme vous le verrez au fil des mois, un nouveau train de mesures sociales sera proposé, "
"1975";"6400000";"large";"";"ASSEMBLEE NATIONALE — 1 SEANCE DU 13 NOVEMBRE 1975 8243 Mais j'entends d'abord marquer mon étonnement de ne trouver nulle part traee des crédits qui seraient nécessaires à la mise en œuvre de ce progr"
"1976";"10600000";"large";"";"ASSEMBLEE NATIONALE — i"" SEANCE DU 3 MAI 1977 2397 Epargne (indexation). 37705. — 4 mai 1977. — M. André Bilieux rappelle à M . le Premier m inistre que, dans le courant du mois de novembre 1978, le P"
"1977";"12000000";"large";"";"7366 ASSEMBLEE NATIONALE — SEANCE DU 14 NOVEMBRE 1977 à ouvrir des chantiers de chômage sont mis à la disposition des préfets des départements d'outre-mer : 12 millions de francs, il y a deux ans à la"
"1978";"104383901";"large";"";"_eu . _se mais en raison de l'intérêt majeur que représente pour lu France le maintien à Strasbourg du Parlement eurnpéen . Cela dépasse, me semble-t-il, le cadre d'une s'evendieation purement régiona"
"1979";"35000000";"large";"";"ASSEMBLEE NATIONALE — 2' SEANCE DU 31 OCTOBRE 1979 9267 M. le président. La parole est à M. Claude Martin, rapporteur pour avis de la commission de la production et des échanges. M. Claude Martin, rap"
"1980";"13000000";"large";"";"3804 ASSEMBLEE NATION?ALE — QUESTIONS ET REPONSES 8 Septembre 1980 prises Bliss, Cazeneuve. Hure, Mecano, Triton, etc., aux difficultés de Languepin, de Bombled et de Forest vient s'ajouter aujourd'hu"
"1981";"279600000";"large";"";"3218 ASSEMBLEE NATIONALE — 2• SEANCE DU 5 NOVEMBRE 1981 TITRE VI. — SUBVENTIONS D ' INVESTISSEMENT ACCORDÉES PAR L'ETAT e Autorisations de programme : 279 600 000 francs e Crédits de paiement : 90 699"
"1982";"138830000";"large";"";"ASSEMBLEE NATIONALE — 3' SEANCE DU 5 NOVEMBRE 1982 6799 C'est dire que l'effectif de 3 000 personnes employées par la Société Le Nickel ne peut être maintenu . Un plan de redres- sement est actuelleme"
"1983";"219000000";"large";"";"5388 ASSEMBLEE NATIONALE — 1"" SEANCE DU 17 NOVEMBRE 1983 Nous savons que la surveillance des côtes est difficile à assurer, que les employeurs locaux s'accommodent fort bien do cette main- d'oeuvre pa"
"1984";"12100000";"large";"";"3302 ASSEMBLEE NATIONALE — 3 SEANCE DU 26 OCTOBRE 1984 ressent tout particulièrement la Polynésie . Le chiffre de 1985 cet en baisse de 12100000 francs, soit 18 p. 100 par rapport au chiffre voté pour"
"1986";"16000000";"large";"";"8728 ASSEMBLEE NATIONALE - 1 r"" SEANCE DU 25 NOVEMBRE 1988 caractère prioritaire de cette mesure : à la Réunion, sur 14 000 jeunes qui arrivent chaque année sur le marché du travail, seulement 4 000 t"
"1987";"117000000";"large";"";"ASSEMBLEE NATIONALE — I ra SEANCE DU 21 OCTOBRE 1987 4587 table que la convention fiscale actuellement à l'étude entre l 'Etat et le territoire puisse aboutir rapidement pour gommer, entre autres, une"
