"fichier";"annee";"nature";"valeur";"score";"confiance";"contexte"
"2_cri_1964-1965-ordinaire1_021.txt";"1964";"investissement";"1965.0";"2";"large";"au point une série de mesures, d'ordre fiscale et financier, susceptibles d'attirer des capitaux français et étrangers dans la construction d'hôtels. Selon les prévisions du IV° plan — 1962-1965 — l'équipement hôtelier antillais devrait atteindre, à la fin de l'année 1965, une capacité de 1.700 cham"
"2_cri_1964-1965-ordinaire1_021.txt";"1964";"investissement";"9800000.0";"2";"large";"s différents domaines en précisant le montant des crédits affectés à chacun d'eux, pour permettre au Parlement d'apprécier l'ordre de priorité adopté ? La même observation s'ap plique à la rubrique a construction et rénovation urbaine », confondues en un seul et même crédit de 9.800.000 francs. Par "
"2_cri_1964-1965-ordinaire1_021.txt";"1964";"investissement";"1962.0";"2";"large";"notre effort d'investissement. Le projet de loi portant approbation du IV' plan avait fixé — tous les orateurs l'ont rappelé — à 460 millions de francs le montant des ressources à allouer au fonds d 'investissement des départements d'outre-mer pour la période quadriennale 1962-1965. Au cours des ann"
"2_cri_1964-1965-ordinaire1_021.txt";"1964";"investissement";"1965.0";"2";"large";"M. Michel Debré pour bien montrer que sa politique est en cours — les dépenses qui les concernent . II s'agit d'une part, du ministère de la santé publique qui financera l'an prochain les dépenses d'équipement sanitaire et, d'autre part, du ministère du travail qui financera en 1965 la construction "
"2_cri_1964-1965-ordinaire1_021.txt";"1964";"subvention";"13500000.0";"2";"large";"t insisté à propos du mécanisme financier qui doit être mis à la disposition de la Guadeloupe . A cet égard, je me permets, monsieur le ministre, au nom de la commission, de vous rappeler que, sur la subvention de 25 mil- lions de francs accordée à ce département, un soïde de 13.500.000 francs lui r"
"2_cri_1964-1965-ordinaire1_021.txt";"1964";"subvention";"1962.0";"5";"moyen";"ce qui concerne le développement intensif de l 'élevage en vue d'assurer le relè- vertent du revenu des agriculteurs réunionnais est restée lettre morte au cours de ce IV° plan . Seuls des crédits d'aide, d 'inci- tation très faible, je dirai dérisoires, y ont été affectés depuis 1962. Ils oscillent"
"2_cri_1964-1965-ordinaire1_021.txt";"1964";"subvention";"1962.0";"2";"large";"rancs au lieu de 192 francs en 1962, soit une augmentation de plus de 550 p. 100 en moins de deux années. Pour illustrer l'importance des mesures ainsi mises en place, j'indiquerai que les dépenses d'aide sociale de l'Etat sont passées de 65 millions de francs en 1962 à 80 millions de francs environ"
"2_cri_1964-1965-ordinaire1_021.txt";"1964";"subvention";"1965.0";"2";"large";"t plus à la charge des collectivités locales et du ministère de la santé publique. Cette politique de rattrapage par rapport à la métropole, déjà si nettement engagée depuis 1962 dans le secteur de l'aide sociale, sera naturellement poursuivie en 1965. A l'occasion des prochains relèvements des allo"
"2_cri_1964-1965-ordinaire1_021.txt";"1964";"logement";"1963.0";"0";"large";"mbre 1563. Comment expliquer un tel retard et — la question doit être posée — où sont passés les milliards annoncés l'année dernière ? Combien de misères n'ont-elles pas été endurées dans les humbles foyers d'agricul- teurs depuis septembre 1963 ! En revanche, nous assistons a une nouvelle vague de "
"2_cri_1964-1965-ordinaire1_021.txt";"1964";"formation";"1965.0";"2";"large";"eau comporte, au titre du personnel et du fonctionnement, des crédits d'un total de 4 .381.779 francs pour la création de centres militaires professionnels. Si l'on compare les sommes consacrées à la formation profes- sionnelle civile, qui se trouvent réduites en 1965, il n 'est pas interdit de pens"
