"fichier";"annee";"nature";"valeur";"score";"confiance";"contexte"
"2_cri_1964-1965-ordinaire1_021.txt";"1964";"etat";"1965.0";"5";"moyen";"t indiqué les rapporteurs, pure- ment et simplement d'un transfert de crédits provenant du ministère des armées ? J 'en arrive donc au titre IV, concernant les interventions publiques. Le ministère d'Etat chargé des départements d'outre-mer dispo- sera, en 1965, d'une somme de 14 .500.000 francs pou"
"2_cri_1964-1965-ordinaire1_021.txt";"1964";"etat";"1962.0";"2";"large";"92 francs en 1962, soit une augmentation de plus de 550 p. 100 en moins de deux années. Pour illustrer l'importance des mesures ainsi mises en place, j'indiquerai que les dépenses d'aide sociale de l'Etat sont passées de 65 millions de francs en 1962 à 80 millions de francs environ en 1963, soit une"
"2_cri_1964-1965-ordinaire1_021.txt";"1964";"collectivites";"1962.0";"0";"large";"art, une sous-préfecture territoriale est créée à la Trinitié, dans le département de la Martinique . Comme vous vous en souvenez, la commission interministérielle chargée de l'étude des finances des collectivités locales, qui s'était réunie à la fin de 1962, avait constaté que la tâche de tutelle e"
"2_cri_1964-1965-ordinaire1_021.txt";"1964";"europe";"1963.0";"0";"large";"sionnelle . Pourquoi faut-il que les pouvoirs publics persistent à laisser subsister des discriminations entre ces productions nationale_ compicmentaires ? Une décision du conseil des ministres de la Communauté économique européenne, prise en décembre 1963, a amené la commission de Bruxelles à adopt"
"2_cri_1966-1967-ordinaire1_021.txt";"1966";"etat";"1963.0";"0";"large";"n Guadeloupe est, bien sûr, l'objet de mes plus grandes préoccupations. Déjà endommagée en 1963, la bana- neraie guadeloupéenne a été anéantie à 100 p. 100 par le cyclone. Grâce à l'intervention de l'Etat, et à la suite d'efforts méri- toires, la Guadeloupe a pu, depuis 1963, reprendre peu à peu sa "
"2_qst_2-qst-1964-09-12.txt";"1964";"etat";"1368.0";"3";"large";"it une irrégularité, il lui appartiendrait de soumettre le litige à l 'appréciation des tribu- naux judiciaires. DEPARTEMENTS ET -TERRITOIRES D'OUTRE-MER 398. — M. Cerneau expose à M . le ministre d 'Etat chargé des départements et territoires d 'outre-mer que la loi n"" 60-1368 du 21 décembre 1960 f"
"3_cri_1967-1968-ordinaire1_037.txt";"1967";"etat";"2240000.0";"5";"moyen";"ux voix le titre III de l 'état B concernant les dépar- tements d'outre-mer, au chiffre de 6.746 .484 francs. (Ce titre, mis aux voix, est adopté.) M . le pr.sident. Je mets aux voix le titre IV de l'état B concer- nant les départements d'outre-mer, au chiffre de 2.240.000 francs. (Ce titre, mis aux"
"3_cri_1967-1968-ordinaire1_037.txt";"1967";"collectivites";"1967.0";"0";"large";". M. Cerneau s'est plaint que je n'aie pu encore résoudre des problèmes que je connais bien pour les avoir étudiés sur place, et notamment celui de la sécheresse de la région Sud de la Réunion. Cette région a effectivement souffert clans les six premiers mois de 1967 d'une sécheresse marquée. Par ar"
"4_cri_1968-1969-ordinaire1_050.txt";"1968";"etat";"750.0";"11";"strict";"ETAT C Répartition des autorisations de programme et des crédits de paiement applicables aux dépenses en capital des services civils. (Mesures nouvelles.) TITRE V . — INVESTISSEMENTS EXÉCUTÉS PAR L 'ETAT e Autorisations de programma, 750.000 francs e Crédits de paiement, 750 .000 francs. » TITRE VI "
"4_cri_1968-1969-ordinaire1_050.txt";"1968";"etat";"1969.0";"8";"proche";"e l'union des démocrates pour la République st sur divers bancs.) 4248 ASSEIIBLEE NATIONALE — S' SEANCE DU 9 NOVEMI31iE 1968 M. Jean-Paul dé Roeca Serra, rapporteur spécial. Monsieur le secrétaire d'Etat, mes chers collègues, dans le projet de budget pour 1969, les crédits des départements d'outre-m"
