fichier;valeur;unite;contexte
8_cri_1986-1987-ordinaire1_090.txt;500000;Antillais;Si les 500 000 Antillais et le 120 000 Réunionnais qui sont en métropole étaient restés chez eux, comme vous le vouliez, quel serait le taux de chômage aux Antilles et à la Réunion.
7_cri_1981-1982-ordinaire1_070.txt;400000;personnes;"3208 ASSEMBLEE NATIONALE — 2' SEANCE DU 5 NOVEMBRE 1981 Favoriser Pians ; mulon ;!'environ 250 000 personnes, afin que ce territoire attei^ne au total le chiffre de 400000 personnes, tel était l'objectif essentiel de ce plan, qui mettait en oeuvre une colonisation de peuplement à des fins politiques très claires."
7_cri_1981-1982-ordinaire1_070.txt;250000;personnes;"3208 ASSEMBLEE NATIONALE — 2' SEANCE DU 5 NOVEMBRE 1981 Favoriser Pians ; mulon ;!'environ 250 000 personnes, afin que ce territoire attei^ne au total le chiffre de 400000 personnes, tel était l'objectif essentiel de ce plan, qui mettait en oeuvre une colonisation de peuplement à des fins politiques très claires."
5_cri_1977-1978-ordinaire1_035.txt;120000;jeunes;Pourtant, le retard du système éducatif est patent, avec 13 000 enfants scola- risés en classes maternelles ou enfantines pour une population scolaire de 120000 jeunes .
8_cri_1986-1987-ordinaire1_090.txt;120000;Réunionnais;Si les 500 000 Antillais et le 120 000 Réunionnais qui sont en métropole étaient restés chez eux, comme vous le vouliez, quel serait le taux de chômage aux Antilles et à la Réunion.
7_cri_1981-1982-ordinaire1_070.txt;100000;Réunionnais;Là encore, une action énergique de votre part devrait permettre le relèvement des crédits aux logements dans les départements d'outre-mer, fixé pour 1982 au même niveau qu'en 1981, année où il y avait 340 millions inscrits au budget primitif et 80 millions au collectif voté en juillet Vous savez également que plus de 100 000 Réunionnais, soit le ci
5_cri_1974-1975-ordinaire1_046.txt;94000;personnes;Depuis sa création, le Bumidom a d 'ailleurs permis l'entrée en métropole de 94 000 personnes et il ne faut pas oublier que cet effort de l'Etat se traduit par le voyage gratuit et un travail à l'arrivée dans la métropole, ce qui n'est pas le cas, naturellement, pour la migration des étrangers que signalait M .
6_cri_1979-1980-ordinaire1_044.txt;10000;personnes;Cette progression sera- t-elle suffisante pour faire face aux tâches sans cesse accrues de cet organisme ? Si le nombre des migrations contrôlées par le Bumidom reste stabilisé depuis plusieurs années autour de 10 000 personnes, dont 5000 pour la seule île de 'a Réunion, il ne faut pas oublier que le nombre des migrations spontanées augmente consta
4_cri_1972-1973-ordinaire1_063.txt;5547;place;"A travers le Bumidom, des mesures vigoureuses, qui ont apporté une certaine amélioration, ont été prises en faveur des migrants : information, formation et sélection professionnelle ; ASSEMBLEE NATIONALE — SEANCE DU 21 NOVEMBRE 1972 5547 placements et implantations à caractère familial avec prêts d'établissement ; secours et aides financières ; pri"
5_cri_1975-1976-ordinaire1_057.txt;5000;personnes;Les migrations organisées par le Bumidom, quoique dépassant 5 000 personnes chaque année, alors é ue la croissance dt mogra- phique est de l'ordre de 7 000 à 8 000, ne suffisent pas à résoudre le problème.
8_cri_1985-1986-extraordinaire1_015.txt;5000;personnes;"Nous envoyions de La Réunion 5 000 personnes par an jusqu'en 1981 ; à partir de 1981, 400, puis 200, puis moins 400 le solde migratoire s'étant inversé ! Après trois années d'illéga- lité, d'anticonstitutionnalité à l 'encontre des ressortissant des départements d 'outre-mer, le gouvernement, voyant que le slogan « retourner vivre au pays » était m"
