"annee";"budget_francs";"budget_MF";"score";"confiance";"fichier";"contexte"
"1968";"164200000";"164.2";"10";"strict";"";"RE 1968 4273 M. le président. Je mets aux voix, pour le titre VI de l'état C concernant les services du Premier ministre (IV. — Départements d'outre-mer), les autorisations de programme au chiffre de "
"1969";"166173000";"166.17";"7";"proche";"";"es. Les crédits d'investissement s'établiront, en autorisations de programme, à 146.565.000 francs en 1970, contre 156.950.000 francs en 1969, et, en crédits de paiement, à 150.105.000 francs, contre "
"1970";"300000000";"300.0";"9";"proche";"";"s, de l 'assu- rance vieillesse, etc . C 'est ainsi, à titre d 'exemple, qu 'entre 1962 et 1968, le budget des allocations familiales des quatre dépar- tements d 'outre-mer est passé de 50 millions à "
"1971";"168500000";"168.5";"8";"proche";"";"réunionnaise d'orientation familiale Les crédits du F. I. D. O. M. constituent l'essentiel des dépenses a entrepris l'éducation des adultes par l'intermédiaire de huit en capital des titres V et VI : "
"1972";"1600000";"1.6";"8";"proche";"";"ssion démographique. Mais je tiens à dire que , .c'est aussi une mesure coûteuse, puisque l'augmentation du mouvement de migration de trois cents personnes environ entrainera une dépense supérieure à "
"1973";"207560000";"207.56";"10";"strict";"";"s). TITRE V. — INVESTISSEMENTS EXÉCUTÉS PAR L ' ETAT e Autorisations de programme : 675.000 francs. a TITRE VI . — SUBVE7 rrlONS D' INVESTISSEMENT ACCORDÉES PAR L 'ETAT e Autorisations de programme : "
"1974";"178700000";"178.7";"9";"proche";"";"nts budgétaires l'avaient fixée à 37,3 millions de francs, et qu'elle ne représentait que 34 millions en 1974 . De ce fait, la dotation de la section centrale du F. I. D. O.M. diminuera et passera de "
"1975";"8420000";"8.42";"8";"proche";"";"avaux publics supplémentaires, notam- ment en faveur des collectivités locales. Ces crédits, qui étaient de 5 900 000 francs en 1973 pour la Martinique, ont été portés à 7 300 000 francs en 1974 et à "
"1976";"35000000";"35.0";"9";"proche";"";"ives aux collectivités locales et par un cré- dit de 7 millions de francs correspondant à la prise en charge du personnel de l'Etat pour l'administration de Saint-Pierre-et- Miquelon. Sur un total de "
"1977";"36000000";"36.0";"8";"proche";"";"e, le système des chantiers de chômage, en dépit d'une répartition contestable, a-t-il rendu bien des services et soulagé bien des misères, les crédits étant passés de 29 millions de francs en 1974 à "
"1978";"104383901";"104.38";"8";"proche";"";"rits à la ligne : a Transports. — III. — Aviation civile et météorologie . » ETAT B Répartition des crédits applicables aux dépenses ordinaires (les services civils (mesures nouvelles). « Titre III : "
"1979";"111330000";"111.33";"9";"proche";"";"R L'ETAT « Autorisations de programme : 4 760 0000 francs e Crédits de paiement : 3 393 000 francs . » TITRE VI . — SUBVENTIONS D'INVESTISSEMENT ACCORDÉES PAR L 'ETAT « Autorisations de programme : 11"
"1980";"10000000";"10.0";"7";"proche";"";"ille du Port. Le curage des ravines a été exécuté dès le lendemain de la catastrophe, avec l'aide de premiers crédits d 'urgence délégués par le ministère de l 'environnement. Au surplus un crédit de "
"1981";"279600000";"279.6";"12";"strict";"";"la départementalisation . J'ai déjà dit que le 3218 ASSEMBLEE NATIONALE — 2• SEANCE DU 5 NOVEMBRE 1981 TITRE VI. — SUBVENTIONS D ' INVESTISSEMENT ACCORDÉES PAR L'ETAT e Autorisations de programme : 27"
"1982";"338097000";"338.1";"10";"strict";"";"' ETAT e Autorisations de programme : 43 600 000 francs «Crédits de paiement : 30 786 000 francs. s TITRE VI . — SUBVENTIONS D ' INVESTISSEMENT ACCORDÉES PAR L ' ETAT < Autorisations de programme : 33"
"1983";"240000000";"240.0";"7";"proche";"";"ement du nombre de logements . Or ce n'est pas à ce à quoi nous assistons . Les crédits affectés à la construction de logements sociaux connaissent une stabilité qui est en fait une baisse : en 1980, "
"1984";"350604000";"350.6";"8";"proche";"";"L' ETAT s Autorisations de programme : 39 316 000 francs. « Crédits de paiement : 23 590 000 francs. s TITRE VI . — SUBVENTIONS D ' INVESTISSEMENT ACCORDÉES PAR L'ETAT « Autorisations de programme : 3"
