"fichier";"annee";"valeur";"score";"confiance";"contexte"
"2_cri_1964-1965-ordinaire1_021.txt";"1964";"9800000.0";"2";"large";"chacun d'eux, pour permettre au Parlement d'apprécier l'ordre de priorité adopté ? La même observation s'ap plique à la rubrique a construction et rénovation urbaine », confondues en un seul et même crédit de 9.800.000 francs. Par ailleurs rien n'est prévu, cette année encore, mon col- lègue M. Cern"
"4_cri_1968-1969-ordinaire1_050.txt";"1968";"158400000.0";"8";"proche";"e 1966 et 1968, et il restera donc, pour les deux dernières années d'exécution du Plan, 353 millions de francs à engager, soit 176.500.000 francs pour chacune des deux années. Avec l'inscription d'un crédit de 158.400.000 francs, un nouveau retard est donc pris et, à moins d'un rattrapage en 1970 — "
"4_cri_1968-1969-ordinaire1_050.txt";"1968";"250.0";"7";"proche";"ue les dotations de 1 million en crédits de fonctionnement et de 53 millions en crédits de paiement prévus au budget des dépenses communes ne sont pas finalement transformés en un simple et dérisoire crédit de 250.000 francs. Après avoir rappelé que le Gouvernement n'a pas encore déposé à ce jour le"
"4_cri_1968-1969-ordinaire1_050.txt";"1968";"250.0";"7";"proche";"ve que sans moyens financiers massifs, concentrés dans le temps, la création d'un organe nouveau ne conduit qu'à un gaspillage inutile de crédits. Monsieur le secrétaire d'Etat, que fera de ce maigre crédit de 250.000 francs cette mission, encore sans chef, compte tenu des frais inévitablement élevé"
"4_cri_1969-1970-ordinaire1_050.txt";"1969";"1969.0";"7";"proche";"e programme inscrites en 1969, corrigées, en ce qui concerne le F .I.D .O.M., par l'affectation du crédit supplémentaire que j'ai pu obtenir et qui râmène le pourcentage de diminution à 8,3 p. 100 du crédit de 1969. J'appelle votre attention sur le fait que les crédits destinés à l'aide aux collecti"
"5_qst_5-qst-1975-07-19.txt";"1975";"1301000000.0";"5";"moyen";"ffort consenti par l 'Etat dans le domaine des bourses nationales d 'études du second degré se traduit pour l 'année scolaire 1974-1975 par l'inscription au budget du minis- tère de l 'éducation d'un crédit de 1 301 000 000 francs permettant de faire bénéficier de cette aide environ deux millions d'"
"6_cri_1979-1980-ordinaire1_045.txt";"1979";"432834.0";"5";"moyen";"r M. Didier Julia l'amendement n° 368 est présenté par M. Claude Martin, rap- porteur pour avis de la commission de la production et des échanges. Ces amendements sont ainsi rédigés : a Réduire les crédits de 432 834 francs .» La parole est à M. Didier Julia poar soutenir l 'amendement n° 358. M. Di"
"7_cri_1981-1982-ordinaire1_070.txt";"1981";"7750000.0";"12";"strict";"cs e Crédits de paiement : 90 699 000 francs . s Sur le titre IV de l'état B, 11IM. Bertile, Jalton et les membres du groupe socialiste ont présenté un amendement, n"" 71, ainsi rédigé s Réduire les crédits de 7 750 000 francs . a La parole est à M . Bertile. M. Wilfrid Bertile . Ainsi que je l'ai so"
"7_cri_1982-1983-ordinaire1_057.txt";"1982";"1982.0";"6";"moyen";"dras, sont intervenus sur la masse budgétaire. Monsieur Esdras, lorsque l'on veut faire une démonstration brillante, il ne faut pas se tromper ! Le «gel> de 25 p. 100, en particulier, portait sur les crédits de 1982, non sur ceux de 1983. M. Marcel Esdras. Je l'ai dit. D'ailleurs qu'est-ce que ça ch"
"7_cri_1983-1984-ordinaire1_076.txt";"1983";"1984.0";"7";"proche";"ont trouver leur place. C'est afin de vous permettre (le poursuivre votre action, 'monsieur le secrétaire d'Etat, que la commission des lois a émis un avis favorable à l'adoption ans modification des crédits de 1984 des territoires d'outre-mer. (Applaudissements sur les bancs des socialistes et des "
