"fichier";"annee";"type";"sens";"valeur";"valeur_avant";"valeur_apres";"evolution";"evolution_pct";"distance";"contexte"
"2_cri_1964-1965-ordinaire1_021.txt";"1964";"evolution_pct";"accroissement";"15.0";"";"";"";"";"471";"e coût de la vie continue d'augmenter dans les départements d'ourre-mer, comme dans la métropole. En troisième lieu, la réduction des crédits affectés aux centres de formation professionnelle avec un accroissement très impor- tant des dépenses prévues, d'une part, au titre du tameux a service milita"
"2_cri_1964-1965-ordinaire1_021.txt";"1964";"evolution_pct";"augmentation";"42.0";"";"";"";"";"313";"x non-salariés de 34 p. 100 et l'allocation complémentaire au fonds national de solidarité de 50 p. 110. Quant à l'allocation militaire, elle est passée en avril dernier de 360 à 960 francs, soit une augmentation de 166 p. 100. Pour ce qui est de l'aide sociale proprement dite — et je réponds ainsi "
"2_cri_1964-1965-ordinaire1_021.txt";"1964";"evolution_pct";"augmentation";"100.0";"";"";"";"";"382";"x non-salariés de 34 p. 100 et l'allocation complémentaire au fonds national de solidarité de 50 p. 110. Quant à l'allocation militaire, elle est passée en avril dernier de 360 à 960 francs, soit une augmentation de 166 p. 100. Pour ce qui est de l'aide sociale proprement dite — et je réponds ainsi "
"2_cri_1964-1965-ordinaire1_021.txt";"1964";"evolution_pct";"augmentation";"20.0";"";"";"";"";"289";"compte (lu fonds national de solidarité, une personne âgée des départements d'outre-mer perçoit-elle, en 1964, une allocation annuelle minimum de 1 .260 francs au lieu de 192 francs en 1962, soit une augmentation de plus de 550 p. 100 en moins de deux années. Pour illustrer l'importance des mesures "
"4_cri_1968-1969-ordinaire1_050.txt";"1968";"evolution_pct";"progression";"10.1";"";"";"";"";"68";"e budget s'élèvent à 130.840.000 francs pour les dépenses ordinaires, contre 118 .790.000 francs en 1968, et à 164 .450.000 francs pour les dépenses en capital, contre 159 .800.000 francs en 1968. La progression est donc plus forte pour les dépenses ordinaires — plus 10,1 p. 100 — que pour les dépen"
"4_cri_1968-1969-ordinaire1_050.txt";"1968";"evolution_pct";"progression";"6.0";"";"";"";"";"121";"e budget s'élèvent à 130.840.000 francs pour les dépenses ordinaires, contre 118 .790.000 francs en 1968, et à 164 .450.000 francs pour les dépenses en capital, contre 159 .800.000 francs en 1968. La progression est donc plus forte pour les dépenses ordinaires — plus 10,1 p. 100 — que pour les dépen"
"4_cri_1968-1969-ordinaire1_050.txt";"1968";"evolution_pct";"progression";"0.6";"";"";"";"";"216";"e budget s'élèvent à 130.840.000 francs pour les dépenses ordinaires, contre 118 .790.000 francs en 1968, et à 164 .450.000 francs pour les dépenses en capital, contre 159 .800.000 francs en 1968. La progression est donc plus forte pour les dépenses ordinaires — plus 10,1 p. 100 — que pour les dépen"
"4_cri_1968-1969-ordinaire1_050.txt";"1968";"evolution_pct";"augmentation";"7.8";"";"";"";"";"183";"rai plus longuement les traits dominants de la situation économique et sociale de nos quatre départements lointains. On constate que, par rapport à 1968, les crédits augmentent globalement d 'environ 7,8 p. 100 et de 10 p. 100 pour les dépenses ordinaires . En ce qui concerne les dépenses en capital"
"4_cri_1968-1969-ordinaire1_050.txt";"1968";"evolution_pct";"diminution";"10.0";"";"";"";"";"490";"ent le budget des départements d 'outre-mer pour 1969. Les crédits de fonctionnement prévus pour 1969 atteindront environ 131 millions, soit 12 millions de plus que l'an dernier. Cette progression de 10 p. 100 permettra de satisfaire un certain nombre d'actions indispensables envisagées par mon dépa"
"4_cri_1969-1970-ordinaire1_033.txt";"1969";"evolution_pct";"augmentation";"21.6";"";"";"";"";"81";"d 'inscription dans l 'enseignement supérieur s'accompagne d 'une exonération complète de ces droits en faveur des étudiants boursiers . En outre, le projet de loi de finances pour 1970 comporte une augmentation des crédits de bourses des enseignements secondaire et supérieur de 21,6 p. 100 par rapp"
