"fichier";"annee";"valeur_francs";"unite";"valeur_affichee";"score";"confiance";"densite_doc";"dans_fourchette";"contexte"
"7_cri_1981-1982-ordinaire1_070.txt";"1981";"279600000";"francs";"279600000 F";"12";"strict";"3";"oui";"la départementalisation . J'ai déjà dit que le 3218 ASSEMBLEE NATIONALE — 2• SEANCE DU 5 NOVEMBRE 1981 TITRE VI. — SUBVENTIONS D ' INVESTISSEMENT ACCORDÉES PAR L'ETAT e Autorisations de programme : 279 600 000 francs e Crédits de paiement : 90 699 000 francs . s Sur le titre IV de l'état B, 11IM. Be"
"7_cri_1981-1982-ordinaire1_070.txt";"1981";"90699000";"francs";"90699000 F";"12";"strict";"3";"oui";"le 3218 ASSEMBLEE NATIONALE — 2• SEANCE DU 5 NOVEMBRE 1981 TITRE VI. — SUBVENTIONS D ' INVESTISSEMENT ACCORDÉES PAR L'ETAT e Autorisations de programme : 279 600 000 francs e Crédits de paiement : 90 699 000 francs . s Sur le titre IV de l'état B, 11IM. Bertile, Jalton et les membres du groupe socia"
"7_cri_1981-1982-ordinaire1_070.txt";"1981";"7750000";"francs";"7750000 F";"12";"strict";"3";"oui";"its de paiement : 90 699 000 francs . s Sur le titre IV de l'état B, 11IM. Bertile, Jalton et les membres du groupe socialiste ont présenté un amendement, n"" 71, ainsi rédigé s Réduire les crédits de 7 750 000 francs . a La parole est à M . Bertile. M. Wilfrid Bertile . Ainsi que je l'ai souligné da"
"7_cri_1981-1982-ordinaire1_070.txt";"1981";"40000000";"millions";"40.0 millions";"11";"strict";"3";"oui";"ons de programme et des crédits de paiement applicables aux dépenses en capital des services civils (mesures nouvelles). TITRE V . — INVESTISSEMENTS EXÉCUTÉS PAR L'ETAT e Autorisations de programme : 40 millions de francs • Crédits de paiement : 26 millions de francs. s ASSEMBLEE NATIONALE — SEANCE "
"7_cri_1981-1982-ordinaire1_070.txt";"1981";"26000000";"millions";"26.0 millions";"11";"strict";"3";"oui";"icables aux dépenses en capital des services civils (mesures nouvelles). TITRE V . — INVESTISSEMENTS EXÉCUTÉS PAR L'ETAT e Autorisations de programme : 40 millions de francs • Crédits de paiement : 26 millions de francs. s ASSEMBLEE NATIONALE — SEANCE DU 5 NOVEMBRE 1981 3219 Tel doit être le nouveau"
"7_cri_1981-1982-ordinaire1_070.txt";"1981";"19822072";"francs";"19822072 F";"11";"strict";"3";"oui";"Dépar- tements et territoires d'outre-mer : II. — Départements d'outre- mer. a ETAT B Répartition des crédits applicables aux dépenses ordinaires des services civils (mesures nouvelles). e Titre IV : 19 822 072 francs. a ETAT C Répartition des autorisations de programme et des crédits de paiement ap"
"7_cri_1981-1982-ordinaire1_070.txt";"1981";"17215322";"francs";"17215322 F";"11";"strict";"3";"oui";"a ligne c Dépar- tements et territoires d'outre-mer, 1 . — Section commune ». ETAT B Répartition des crédits applicables aux dépenses ordinaires des services civils (mesures nouvelles). e Titre III : 17 215 322 francs. » Personne ne demande la parole ?... Je mets aux voix le titre III. (Le titre fil"
"7_cri_1981-1982-ordinaire1_070.txt";"1981";"4652253";"francs";"4652253 F";"11";"strict";"3";"oui";"épar- tements et territoires d'outre-mer : III. — Territoires d'outre- mer e . ETAT B Répartition des crédits applicables aux dépenses ordinaires des services civils (mesures nouvelles). « Titre IV : 4 652 253 francs. a ETAT C Répartition des autorisations de programme et des crédits de paiement app"
"6_cri_1978-1979-ordinaire1_058.txt";"1978";"740000";"francs";"740000 F";"11";"strict";"2";"non";"nt comprenant 240 adolescents, l'utilisation des transports en comme représente une dépense de 220 000 francs, alors que l 'utilisation des transports collectifs de ramassage constitue une dépense de 740 000 francs . Les dispositions du décret précité dont les intentions sont louables peuvent, si el"
"6_cri_1978-1979-ordinaire1_058.txt";"1978";"220000";"francs";"220000 F";"11";"strict";"2";"non";"environ le triple de celui des transports en commun . Ainsi, et à titre indicatif, pour un éta- blissement comprenant 240 adolescents, l'utilisation des transports en comme représente une dépense de 220 000 francs, alors que l 'utilisation des transports collectifs de ramassage constitue une dépense"
"4_cri_1968-1969-ordinaire1_050.txt";"1968";"750";"francs";"750 F";"11";"strict";"16";"non";"ns de programme et des crédits de paiement applicables aux dépenses en capital des services civils. (Mesures nouvelles.) TITRE V . — INVESTISSEMENTS EXÉCUTÉS PAR L 'ETAT e Autorisations de programma, 750.000 francs e Crédits de paiement, 750 .000 francs. » TITRE VI . — SUBVENTIONS D'INVESTISSEMENT A"
"4_cri_1968-1969-ordinaire1_050.txt";"1968";"420";"francs";"420 F";"11";"strict";"16";"non";"ction IV. — Départements d'outremer. ETAT B Répartition des crédits applicables aux dépenses ordinaires des services civils. (Mesures nouvelles.) e Titre III : + 2.410 .049 francs e Titre IV : + 2 .420.000 francs. » ETAT C Répartition des autorisations de programme et des crédits de paiement applica"
"4_cri_1968-1969-ordinaire1_050.txt";"1968";"400";"francs";"400 F";"11";"strict";"16";"non";"0.000 francs e Crédits de paiement, 750 .000 francs. » TITRE VI . — SUBVENTIONS D'INVESTISSEMENT ACCORDÉES PAR L'ETAT e Autorisations de programme, 164 .200.000 francs e Crédits de paiement, 102 .400.000 francs. s Ce débat a été organisé comme suit : Gouvernement, 55 minutes Commissions, 35 minutes "
"4_cri_1968-1969-ordinaire1_050.txt";"1968";"200";"francs";"200 F";"11";"strict";"16";"non";"PAR L 'ETAT e Autorisations de programma, 750.000 francs e Crédits de paiement, 750 .000 francs. » TITRE VI . — SUBVENTIONS D'INVESTISSEMENT ACCORDÉES PAR L'ETAT e Autorisations de programme, 164 .200.000 francs e Crédits de paiement, 102 .400.000 francs. s Ce débat a été organisé comme suit : Gouve"
"7_cri_1982-1983-ordinaire1_057.txt";"1982";"338097000";"francs";"338097000 F";"10";"strict";"5";"oui";"' ETAT e Autorisations de programme : 43 600 000 francs «Crédits de paiement : 30 786 000 francs. s TITRE VI . — SUBVENTIONS D ' INVESTISSEMENT ACCORDÉES PAR L ' ETAT < Autorisations de programme : 338 097 000 francs < Crédits de paiement : 118 562 000 francs.> Personne ne demande la parole ? . .. J"
"5_cri_1973-1974-ordinaire1_032.txt";"1973";"207560000";"francs";"207560000 F";"10";"strict";"3";"oui";"s). TITRE V. — INVESTISSEMENTS EXÉCUTÉS PAR L ' ETAT e Autorisations de programme : 675.000 francs. a TITRE VI . — SUBVE7 rrlONS D' INVESTISSEMENT ACCORDÉES PAR L 'ETAT e Autorisations de programme : 207.560.000 francs e Crédits de paiement : 120.380.000 francs. a Personne ne demande la parole ? . ."
"7_cri_1982-1983-ordinaire1_057.txt";"1982";"164400000";"francs";"164400000 F";"10";"strict";"5";"oui";"PAR L ' ETAT e Autorisations de programme : 6 540 000 francs s Crédits de paiement : 5 397 000 francs.» TITRE VI . — SUBVENTIONS D'INVESTISSEMENT ACCORDÉES PAR L 'ETAT «Autorisations de programme : 164 400 000 francs e Crédits de paiement : 86 557 000 francs.» Personne ne demande la parole ? . .. Je"
"4_cri_1968-1969-ordinaire1_050.txt";"1968";"164200000";"francs";"164200000 F";"10";"strict";"16";"oui";"RE 1968 4273 M. le président. Je mets aux voix, pour le titre VI de l'état C concernant les services du Premier ministre (IV. — Départements d'outre-mer), les autorisations de programme au chiffre de 164.200.000 francs. (Les autorisations de programme, mises aux voix, sont adop- tées .) M . le prési"
"7_cri_1981-1982-ordinaire1_070.txt";"1981";"144000000";"millions";"144.0 millions";"10";"strict";"3";"oui";"T • Autorisations de programme : 6 millions de francs « Crédits de paiement : 4 983 000 francs . a Titre VI. — SUBVENTIONS D ' INVESTISSEMENT ACCORDÉES PAR L ' ETAT « Autorisa : Sons de programme : 144 millions de francs « Crédits de paiement : 70 762 000 francs . a Personne ne demande la parole ? ."
"5_cri_1973-1974-ordinaire1_032.txt";"1973";"120380000";"francs";"120380000 F";"10";"strict";"3";"oui";"' ETAT e Autorisations de programme : 675.000 francs. a TITRE VI . — SUBVE7 rrlONS D' INVESTISSEMENT ACCORDÉES PAR L 'ETAT e Autorisations de programme : 207.560.000 francs e Crédits de paiement : 120.380.000 francs. a Personne ne demande la parole ? . .. Je mets aux voix le titre III. (Le titre III"
"7_cri_1982-1983-ordinaire1_057.txt";"1982";"118562000";"francs";"118562000 F";"10";"strict";"5";"oui";"000 francs «Crédits de paiement : 30 786 000 francs. s TITRE VI . — SUBVENTIONS D ' INVESTISSEMENT ACCORDÉES PAR L ' ETAT < Autorisations de programme : 338 097 000 francs < Crédits de paiement : 118 562 000 francs.> Personne ne demande la parole ? . .. Je mets aux voix le titre IV. (Le titre IV est"
"4_cri_1968-1969-ordinaire1_050.txt";"1968";"102400000";"francs";"102400000 F";"10";"strict";"16";"oui";"nt adop- tées .) M . le président. Je mets aux voix, pour le titre VI de l 'état C concernant les services du Premier ministre (IV. — Départements d 'outre-mer), les crédits de paiement au chiffre de 102.400.000 francs. (Les crédits de paierner , mis aux voix, sont adoptés .) [Article 73 .] M. le pr"
"7_cri_1982-1983-ordinaire1_057.txt";"1982";"86557000";"francs";"86557000 F";"10";"strict";"5";"oui";"540 000 francs s Crédits de paiement : 5 397 000 francs.» TITRE VI . — SUBVENTIONS D'INVESTISSEMENT ACCORDÉES PAR L 'ETAT «Autorisations de programme : 164 400 000 francs e Crédits de paiement : 86 557 000 francs.» Personne ne demande la parole ? . .. Je mets aux voix le titre IV. (Le titre IV est a"
"7_cri_1982-1983-ordinaire1_057.txt";"1982";"79400000";"francs";"79400000 F";"10";"strict";"5";"oui";"un arrété du 18 octobre dernier du ministre chargé du budget, des prévisions figurant dans la loi de finances initiale pour 1982 ont été amputées, en ce qui concerne les départements d'outre-mer, de 79400000 francs d'autorisations de programme et de 28 700000 francs de Crédits de paiement. De toute "
