"annee";"nb_fichiers";"nb_montants_fourchette";"total";"moyenne";"max";"budget_estime"
"1964";"2";"48";"3699150000";"77065625";"460000000";""
"1966";"1";"9";"1230117863";"136679762";"185000000";""
"1967";"1";"1";"2240000";"2240000";"2240000";""
"1968";"2";"46";"5817550049";"126468479";"500000000";"164200000"
"1969";"5";"26";"2271062651";"87348563";"400000000";"166173000"
"1970";"4";"39";"4174126797";"107028892";"316000000";"300000000"
"1971";"3";"19";"2168800000";"114147368";"344000000";"168500000"
"1972";"3";"5";"25995940";"5199188";"12000000";"1600000"
"1973";"3";"18";"2121671988";"117870666";"407000000";"207560000"
"1974";"3";"14";"2042800000";"145914285";"412000000";"178700000"
"1975";"6";"22";"2112343000";"96015590";"500000000";"8420000"
"1976";"4";"24";"2832700000";"118029166";"500000000";"35000000"
"1977";"2";"17";"640597000";"37682176";"272000000";"36000000"
"1978";"7";"37";"3498109246";"94543493";"450000000";"104383901"
"1979";"6";"39";"2651074973";"67976281";"469000000";"111330000"
"1980";"2";"4";"93000000";"23250000";"40000000";"10000000"
"1981";"4";"24";"2739110583";"114129607";"420000000";"279600000"
"1982";"1";"75";"9553319853";"127377598";"469600000";"338097000"
"1983";"2";"25";"2955900000";"118236000";"450000000";"240000000"
"1984";"2";"44";"3412386150";"77554230";"450000000";"350604000"
"1985";"2";"0";"0";"0";"0";""
"1986";"5";"15";"1769700000";"117980000";"275000000";""
"1987";"1";"6";"787000000";"131166666";"250000000";""
