fichier;valeur;contexte
4_cri_1968-1969-ordinaire1_050.txt;13.8;Sur le plan des revenus — et ceci est très important -- 13,8 p.
4_cri_1968-1969-ordinaire1_050.txt;50;100 des travailleurs et des travailleuses perçoivent moins de cinq cents francs par mois — ce groupe comprend essentiel- lement les employés cle maison et les travailleurs qui prennent leurs repas chez l'employeur — 50 p.
4_cri_1968-1969-ordinaire1_050.txt;18;18 p.
4_cri_1968-1969-ordinaire1_050.txt;13;500 francs, 13 p.
4_cri_1968-1969-ordinaire1_050.txt;4.2;000 francs et 4,2 p.
4_cri_1968-1969-ordinaire1_050.txt;24;100 un poste de télévision, 24 p.
4_cri_1968-1969-ordinaire1_050.txt;6;Les migrants sont généralement moins bien logés que les métro- politains et 5 à 6 p.
4_cri_1968-1969-ordinaire1_050.txt;1;De ce fait, on ne compte pas parmi eux plus de 1 p.
4_cri_1970-1971-ordinaire1_065.txt;85;"l 'honorable parlementaire met en cause, il n'en reste pas moins impossible de conclure que la migration prive systématiquement les départements d'outre-mer de leurs cadres et d 'une partie de leur main-d'ceuvre, car : tous les migrants sont des volontaires faisant spontanément appel au Bumidom ; la"
4_cri_1970-1971-ordinaire2_007.txt;53;"Vous savez que les ;rois départements de la Guadeloupe, de la Martinique et de :3 Réunion connaissent une intense pression démographique et un sous-emploi permanent : 53 p."
4_cri_1970-1971-ordinaire2_007.txt;50;"100 des Réunionnais ont moins de vingt ans ; plus de 50 p."
4_cri_1971-1972-ordinaire1_024.txt;12.1;Mais cette politique ne peut pleinement réussir que si la main- Il accuse par rapport à 1971 — les rapporteurs l'ont souligné — d'oeuvre envoyée en métropole possède un niveau de qualifica- une augmentation de 12,1 p.
4_cri_1971-1972-ordinaire1_024.txt;9.4;100 supérieure à celle du bud- tion et d'information suffisant pour s'insérer sans trop de diffi- get général dont la progression est seulement de 9,4 p.
4_cri_1971-1972-ordinaire1_024.txt;40;A ma connaissance, 40 p.
4_cri_1972-1973-ordinaire1_063.txt;60;L'amélioration des conditions de vie, l'efficacité de la lutte entreprise contre les maladies, l'application des lois sociales bnt contribué à l'augmentation de la population dont les jeunes représentent près de 60 p.
4_cri_1972-1973-ordinaire1_063.txt;23;Le nombre des actifs par 'rapport à celui de la population est de 23 p.
5_cri_1973-1974-ordinaire1_032.txt;98;Je signale que le taux de scolarisation dans le primaire est de 98 p.
5_cri_1974-1975-ordinaire1_047.txt;54;"sont à la recherche d'un travail pour, élever leur nombreuse famille ; que, s'il fallait transposer ce :rapport, cela équivaudrait De même, ils estiment q j'en formant et en équipant nos à plus de dix millions de chômeurs pour la métropole ; que les moins de vingt ans représentent 54 p."
5_cri_1975-1976-ordinaire1_057.txt;5;La vigoureuse politique d'intervention engagée à votre initia- tive dès 1974 pour juguler cette hausse des prix a donné de bons résultats puisque celle-ci se limite, comme en métropole, à un peu plus de 5 p.
5_cri_1975-1976-ordinaire1_057.txt;8;8 p.
5_cri_1975-1976-ordinaire1_057.txt;2.5;suivant les départe- ments, que de 3 à 2.
6_cri_1978-1979-ordinaire1_056.txt;8;Ces dotations, des- tinées au BUMIDOM, Bureau pour les migrations dans les départements d'outre-mer, ne sont, en effet, revalorisées que de 8 p.
6_cri_1979-1980-ordinaire1_032.txt;37;100 à la Réunion, de 37 p.
6_cri_1979-1980-ordinaire1_032.txt;30;100 à file Mau- rice et d'en viron 30 p.
6_cri_1979-1980-ordinaire1_044.txt;49.5;Pour les crédits du budget des départements d'outre-mer proprement dit, on relève quelques points positifs : l'inscrip- tion de 40 millions de francs en autorisations de programme pour contribuer au financement des infrastructures de la Guyane, dans le cadre du plan de développement de ce dépar- tem
6_cri_1979-1980-ordinaire1_044.txt;6;,lns considérer l'évolution des crédits de votre département comme plutôt satisfaisante, nous ne devons pas oublier que les dotations de ce budget ne, représentent plus aujourd'hui qu'environ 6 p.
6_cri_1979-1980-ordinaire1_045.txt;4.66;Votre budget, je le sais, n'est pas le seul à alimenter le BUMIDOM, mais les crédits inscrits au chapitre 46-91 — moins de 35 millions de francs — ne progressent que de 4.
6_cri_1979-1980-ordinaire1_113.txt;50;— augmenteront de près de 50 p.
7_cri_1982-1983-ordinaire1_057.txt;1;Pour les mémes raisons, et en dépit d'un rattrapage de 1 p.
7_cri_1982-1983-ordinaire1_057.txt;8;Je crains, monsieur le secrétaire d'Etat, que l'augment) tien de 8 p.
7_cri_1982-1983-ordinaire1_057.txt;20.67;100 pour l'ensemble des dépenses civiles, mais les dépenses de fonctionnement sont en augmentation de 20,67 p.
7_cri_1983-1984-ordinaire2_008.txt;75;a, à cet effet, modifié ses modalités d'inter vention en prenant en charge les voyages pour l'aller et le retour à hauteur de 75 p.
8_cri_1985-1986-ordinaire2_049.txt;40;Durant les trente dernières années, en effet - et vous le savez particulièrement, monsieur Debré - malgré ces dispositions spécifiques, malgré les plans, les colloques, les tables rondes, les visites ministérielles, le nombre d'emplois dans les départements d'outre-mer est demeuré fixe, alors que la
8_cri_1986-1987-ordinaire1_065.txt;14;Le chômage atteint des niveaux considérables : 14 p.
8_cri_1986-1987-ordinaire1_065.txt;21;100 en Guyane, 21 p.
8_cri_1986-1987-ordinaire1_065.txt;28;100 en Marti- nique et - triste record - 28 p.
8_cri_1986-1987-ordinaire1_065.txt;20;De tels chiffres sont énormes, d'autant plus que, pour qu'ils soient valablement comparés à ceux de la métropole, il convient de les majorer dans de fortes proportions, ce qui fait que les taux de chômage réels scraient plutôt proches de 20 p.
8_cri_1986-1987-ordinaire1_065.txt;35;100 en Guadeloupe, de 35 p.
