annee;evenement;valeur;unite;source
1965;Premiers logements;86;logements;cri 1967-1968
1967;Hébergement transit;220;lits;cri 1967-1968
1968;Logements BUMIDOM;234;logements;cri 1967-1968
1972;Capacité accueil;5547;places;cri 1972-1973
1974;Migrations depuis 1963;94000;personnes;cri 1974-1975
1975;Flux annuel;5000;personnes/an;cri 1975-1976
1975;Crédits BUMIDOM;28353000;francs;qst 1975
1979;Flux annuel;10000;personnes/an;cri 1979-1980
1981;Budget BUMIDOM;279600000;francs;cri 1981-1982
1981;Réunionnais métropole;100000;Réunionnais;cri 1981-1982
1981;Population concernée;400000;personnes;cri 1981-1982
1985;Fin migrations;5000;personnes/an;cri 1985-1986
1986;Réunionnais métropole;120000;Réunionnais;cri 1986-1987
1986;Antillais métropole;500000;Antillais;cri 1986-1987
