orateur;mentions;nb_docs;theme_1;score_1;theme_2;score_2;theme_3;score_3
M. Jean Fontaine;219;23;budget;4542;migration;3861;emploi;3059
M. Michel Debré;179;27;migration;4633;budget;4064;emploi;2601
M. Henri Emmanuelli;104;4;migration;852;budget;619;emploi;412
M. Victor Sablé;96;13;migration;3339;budget;2761;antilles;1635
M. Olivier Stirn;90;8;migration;1566;emploi;1394;budget;1248
M. Paul Dijoud;81;6;budget;1013;migration;817;emploi;513
M. Emmanuel Hamel;79;14;budget;2482;emploi;2136;migration;1716
M. Jean-Paul de Rocca Serra;77;17;migration;3823;budget;3706;emploi;1883
M. Didier Julia;73;5;migration;950;budget;673;antilles;393
M. Robert-André Vivien;63;5;migration;1098;budget;693;emploi;536
M. Aimé Césaire;62;8;migration;1686;budget;1280;antilles;878
M. Alain Vivien;61;7;budget;1500;migration;1337;emploi;941
M. Frédéric Jalton;60;10;migration;1970;budget;1703;emploi;951
M. Robert Le Foll;56;5;migration;981;budget;439;emploi;377
M. Ernest Moutoussamy;54;8;migration;1544;budget;1241;emploi;768
M. Jean-Paul Virapoullé;50;5;migration;842;emploi;355;budget;224
M. Pierre Mauger;48;9;budget;1486;emploi;1041;migration;1007
M. Georges Lemoine;47;5;migration;692;budget;550;emploi;303
M. Joseph Franceschi;46;5;emploi;621;migration;541;budget;512
M. Camille Petit;42;11;migration;2373;budget;2333;emploi;1164
M. Pierre Mazeaud;42;2;migration;237;budget;237;emploi;62
M. Bernard Marie;41;3;budget;643;migration;277;transport;244
M. Albert Pen;41;4;migration;836;budget;776;emploi;397
M. Robert Montdargent;39;4;budget;712;migration;476;transport;375
M. Antoine Gissinger;38;6;emploi;1600;migration;568;formation;488
M. Guy Guermeur;36;6;budget;1381;migration;711;transport;611
M. Wilfrid Bertile;36;4;migration;877;budget;787;emploi;436
M. Guy Ducoloné;35;8;emploi;1123;budget;1096;migration;1023
M. Philippe Séguin;33;5;budget;969;emploi;686;migration;598
M. Marcel Esdras;33;4;migration;836;budget;776;emploi;397
