fichier;valeur;unite;contexte
7_cri_1981-1982-ordinaire1_070.txt;279600000.0;francs;"— SUBVENTIONS D ' INVESTISSEMENT ACCORDÉES PAR L'ETAT e Autorisations de programme : 279 600 000 francs ; e Crédits de paiement : 90 699 000 francs ."
7_cri_1981-1982-ordinaire1_070.txt;90699000.0;francs;"— SUBVENTIONS D ' INVESTISSEMENT ACCORDÉES PAR L'ETAT e Autorisations de programme : 279 600 000 francs ; e Crédits de paiement : 90 699 000 francs ."
5_qst_5-qst-1975-07-19.txt;28353000.0;francs;Les crédits de chômage étaient : en 1972 de 22000000 francs, en 1973 de 23 650 000' francs, en 1974 (budget primitif plus budget supplémentaire) de 28 353 000 francs .
5_cri_1975-1976-ordinaire2_035.txt;8420000.0;francs;Ces crédits, qui étaient de 5 900 000 francs en 1973 pour la Martinique, ont été portés à 7 300 000 francs en 1974 et à 8 420 000 francs en 1975 .
7_cri_1981-1982-ordinaire1_070.txt;7750000.0;francs;"Bertile, Jalton et les membres du groupe socialiste ont présenté un amendement, n"" 71, ainsi rédigé s Réduire les crédits de 7 750 000 francs ."
5_cri_1975-1976-ordinaire2_035.txt;7300000.0;francs;Ces crédits, qui étaient de 5 900 000 francs en 1973 pour la Martinique, ont été portés à 7 300 000 francs en 1974 et à 8 420 000 francs en 1975 .
5_cri_1975-1976-ordinaire2_035.txt;5900000.0;francs;Ces crédits, qui étaient de 5 900 000 francs en 1973 pour la Martinique, ont été portés à 7 300 000 francs en 1974 et à 8 420 000 francs en 1975 .
6_cri_1978-1979-ordinaire1_106.txt;675912.0;francs;Ces fonds s 'éle- vaient à 675 912 francs polir la SPAS et à 320 132 francs pour le BUMIDOM .
6_cri_1978-1979-ordinaire1_106.txt;320132.0;francs;Ces fonds s 'éle- vaient à 675 912 francs polir la SPAS et à 320 132 francs pour le BUMIDOM .
6_cri_1978-1979-ordinaire1_025.txt;7630.0;francs;— Le ministre des transports rappelle que les Réunion- nais résidant en métropole bénéficient, par l'intermédiaire du, Bumi- dom (bureau d 'immigration des départements d'outre-mer) et du Casodom (centre d 'action sociale des départements d 'outre-mer), d 'un tarif aller et retour entre Paris et la Réunion de 2970 francs, bien inféieur au tarif de 
6_cri_1978-1979-ordinaire1_025.txt;5330.0;francs;des transports rappelle que les Réunion- nais résidant en métropole bénéficient, par l'intermédiaire du, Bumi- dom (bureau d 'immigration des départements d'outre-mer) et du Casodom (centre d 'action sociale des départements d 'outre-mer), d 'un tarif aller et retour entre Paris et la Réunion de 2970 francs, bien inféieur au tarif de base de 7 630 
6_cri_1978-1979-ordinaire1_050.txt;3515.0;francs;Certes, il existe un tarif social de 3 515 francs, mais seuls en bénéficient les économiquement faibles .
5_cri_1975-1976-ordinaire2_086.txt;2710.0;francs;entre 2 315 et 2 710 francs suivant les périodes de l 'année.
6_cri_1978-1979-ordinaire1_025.txt;2000.0;F;Le ministre des transports voit mal à quoi correspond le « prix vérité s de 2 000 F aller et retour Paris-la Réunion avancé par l'association « Echanges sans frontières e.
5_qst_5-qst-1974-04-27.txt;1978.0;francs;Ce tarif ne peut être comparé dans la tarification d'Air France sur la ligne métropole—Réunion qu'avec le tarif Bumidom qui est d'un niveau analogue : 1 978 francs.
5_qst_5-qst-1974-04-27.txt;1920.0;francs;En ce qui concerne le tarif de la ligne Londres—Maurice auquel se réfère l'honorable parlementaire, ce tarif est actuellement de 170 livres sterling, soit 1 920 francs .
