"=== THÈME ===";"antilles"
"Total documents";"66"
"Total occurrences";"3319"

"=== TOP ORATEURS ==="
"Rang";"Orateur";"Mentions"
"1";"M. Jean Fontaine";"219"
"2";"M. Michel Debré";"172"
"3";"M. Henri Emmanuelli";"104"
"4";"M. Victor Sablé";"96"
"5";"M. Olivier Stirn";"90"
"6";"M. Emmanuel Hamel";"79"
"7";"M. Jean-Paul de Rocca Serra";"77"
"8";"M. Didier Julia";"73"
"9";"M. Paul Dijoud";"69"
"10";"M. Robert-André Vivien";"63"
"11";"M. Aimé Césaire";"62"
"12";"M. Alain Vivien";"61"
"13";"M. Frédéric Jalton";"60"
"14";"M. Robert Le Foll";"56"
"15";"M. Ernest Moutoussamy";"54"
"16";"M. Jean-Paul Virapoullé";"50"
"17";"M. Pierre Mauger";"48"
"18";"M. Georges Lemoine";"47"
"19";"M. Joseph Franceschi";"46"
"20";"M. Camille Petit";"42"
"21";"M. Pierre Mazeaud";"42"
"22";"M. Bernard Marie";"41"
"23";"M. Albert Pen";"41"
"24";"M. Robert Montdargent";"39"
"25";"M. Antoine Gissinger";"38"
"26";"M. Guy Guermeur";"36"
"27";"M. Wilfrid Bertile";"36"
"28";"M. Guy Ducoloné";"35"
"29";"M. Marcel Esdras";"33"
"30";"M. Henri Beaujean";"32"

"=== COOCCURRENCES ==="
"Thème associé";"Occurrences"
"budget";"10025"
"emploi";"9646"
"migration";"9294"
"formation";"3065"
"transport";"2562"
"reunion";"1863"
"insertion";"1352"
"logement";"1330"
"racisme";"1063"

"=== DOCUMENTS ==="
"Fichier";"Année";"Occurrences";"Mentions BUMIDOM";"Type"
"2_cri_1964-1965-ordinaire1_021.txt";"1964";"242";"3";"Compte rendu"
"4_cri_1972-1973-ordinaire1_045.txt";"1972";"201";"1";"Compte rendu"
"3_cri_1967-1968-ordinaire1_037.txt";"1967";"189";"3";"Compte rendu"
"4_cri_1968-1969-ordinaire1_050.txt";"1968";"187";"11";"Compte rendu"
"4_cri_1970-1971-ordinaire1_023.txt";"1970";"171";"4";"Compte rendu"
"6_cri_1979-1980-ordinaire1_045.txt";"1979";"163";"2";"Compte rendu"
"4_cri_1971-1972-ordinaire1_024.txt";"1971";"143";"11";"Compte rendu"
"2_cri_1966-1967-ordinaire1_021.txt";"1966";"131";"3";"Compte rendu"
"5_cri_1973-1974-ordinaire1_032.txt";"1973";"129";"3";"Compte rendu"
"5_cri_1975-1976-ordinaire1_058.txt";"1975";"126";"2";"Compte rendu"
"5_cri_1976-1977-ordinaire1_062.txt";"1976";"115";"2";"Compte rendu"
"5_cri_1974-1975-ordinaire1_047.txt";"1974";"114";"1";"Compte rendu"
"7_cri_1981-1982-extraordinaire4_014.txt";"1981";"98";"1";"Compte rendu"
"5_cri_1977-1978-ordinaire1_035.txt";"1977";"96";"5";"Compte rendu"
"4_cri_1969-1970-ordinaire1_050.txt";"1969";"93";"4";"Compte rendu"
"5_cri_1975-1976-ordinaire1_057.txt";"1975";"91";"4";"Compte rendu"
"6_cri_1979-1980-ordinaire2_064.txt";"1979";"70";"1";"Compte rendu"
"7_cri_1982-1983-ordinaire1_057.txt";"1982";"70";"6";"Compte rendu"
"8_cri_1986-1987-ordinaire1_086.txt";"1986";"65";"1";"Compte rendu"
"8_cri_1986-1987-ordinaire1_090.txt";"1986";"64";"8";"Compte rendu"
"5_cri_1976-1977-ordinaire2_051.txt";"1976";"60";"1";"Compte rendu"
"7_cri_1983-1984-ordinaire1_076.txt";"1983";"60";"2";"Compte rendu"
"8_cri_1986-1987-ordinaire1_085.txt";"1986";"50";"3";"Compte rendu"
"7_cri_1981-1982-ordinaire1_070.txt";"1981";"46";"4";"Compte rendu"
"6_cri_1979-1980-ordinaire2_067.txt";"1979";"45";"1";"Compte rendu"
"5_cri_1974-1975-ordinaire1_046.txt";"1974";"44";"5";"Compte rendu"
"8_cri_1987-1988-ordinaire1_025.txt";"1987";"42";"1";"Compte rendu"
"7_cri_1984-1985-ordinaire1_039.txt";"1984";"41";"2";"Compte rendu"
"8_cri_1986-1987-ordinaire1_087.txt";"1986";"33";"1";"Compte rendu"
"8_cri_1986-1987-ordinaire1_065.txt";"1986";"29";"1";"Compte rendu"
