"Fichier";"Année";"Page";"Extrait"
"2_cri_1964-1965-ordinaire1_021.txt";"1964";"22";"tat recevant des crédits directement du budget' général du pays, c 'est-à-dire non soumise au contrôle pourtant peu sévère du comité directeur du F . 1. D. O. M. ? Je souhaite recevoir cette fois de vous une réponse justifiant ce changement d'orientation. Avant de passer au sujet suivant, je dirai à M . Bas que, contrairement à ce qui est indiqué à la page 29 de son rapport écrit, ce n'est pas le"
"2_cri_1964-1965-ordinaire1_021.txt";"1964";"22";"""osition n'est pas acceptable, monsieur le ministre ; elle conduit à faire supporter par le budget local des dépenses concernant des Réunionnais qui ont quitté leur département au titre de la migration . C'est, de plus, un précédent regrettable. S'il parait normal que le F. I. D. O. M. ne continue pas à prendre en charge des dépenses de cet ordre, comme cela se pratiquait jusqu'à présent, c'est le"""
"2_cri_1964-1965-ordinaire1_021.txt";"1964";"58";"de 4 .000. Nous avons donc largement rempli le programme que nous nous étions fixé. La plupart d'entre eux sont entrés dans les centres métro- politains de formation professionnelle, les autres viennent en France avec un contrat de travail rémunérateur ou dans le cadre des regroupements familiaux. La création aux Antilles et à la Réunion d'antennes locales du service des migrations, qu'on appelle"
"2_cri_1966-1967-ordinaire1_021.txt";"1966";"56";"on sanitaire et sociale . de mettre sur pied un réseau de cantines scolaires, d'installer un service Pour mener à bien cette tâche, le ministère d'Etat a créé une société d'Etat, le Bureau pour le développement des migra- de travailleuses familiales dans chaque département, de créer, enfin, des centres de formation professionnelle . tions intéressant les départements d'outre-mer, autrement dit le"
"2_cri_1966-1967-ordinaire1_021.txt";"1966";"56";"sse qu'à des volontaires et que les plus de dix ans . candidats, s'ils n'ont aucune qualifi- cation, doivent accepter d'accomplir un stage de formation pro- Parallèlement à la mise en oeuvre de la parité globale, le fessionnelle ? Gouvernement s'attache à étendre le bénéfice de la sécurité sociale aux non salariés. Sans entrer dans le détail des dispo- En liaison avec les bureaux de placement, le"
"2_cri_1966-1967-ordinaire1_021.txt";"1966";"58";"ticulièrement importante aux départements d'outre-mer sur- peuplés. M. Lucien Neuwirth . Très bien. M. le ministre d'Etat chargé des départements et territoires d'outre-mer . La migration vers la métropole ne saurait être un remède efficace à l'expansion démographique dont souffrent nos trois départements insulaires . Enfin, en prenant en charge tout ou partie des frais de voyage des familles, le"
"2_qst_2-qst-1964-09-12.txt";"1964";"83";"iative ou agrément de la puis- sance publique. Le Gouvernement a conscience de l'ampleur et de la gravité du problème démographique dans les D . O. M. et de la nécessité de rechercher toutes les solutions adaptées à la situation actuelle . C'est ainsi qu 'a été entreprise une action généralisée ten - dant à faciliter la migration des populations locales vers la métro- pole. La création récente du"
"3_cri_1967-1968-ordinaire1_037.txt";"1967";"68";"""ont été placés directement par le BUMIDO-\I ; ils arrivaient en métropole munis d'un contrat de travail. 195 éléments ont fait l'objet d'une formation professionnelle pendant leur service militaire ; ils ont été placés dès leur libé- ration soit chez des employeurs, soit clans les centres de for- mation professionnelle accélérée métropolitains. 55 jeunes filles ont été placées directement par le B"""
"3_cri_1967-1968-ordinaire1_037.txt";"1967";"68";"s ont été placées comme employées de maison, aides-soignantes ou assistantes puéricultrices. Les 713 migrants restants sont venus dans le cadre des regrou- pements familiaux . On peut donc dire que tous les migrants ont été placés par le 13t!MlDOM à leur arrivée en métropole ou à leur sortie des centres de formation professionnelle acélérée. Si, pour une raison quelconque, un migrant placé par le"
"3_cri_1967-1968-ordinaire1_037.txt";"1967";"69";"A ces chiffres s'ajoutent 234 logements Il . L . M . mis à la disposition du BUMiDOiI à la suite de la décision d'un comité inter- ministériel de 1963. 710 prêts d'établi,eurent ont été accordés en 1966 pour les mi grants de la région parisienne ainsi que 17 prêts d 'accession à la propriété. En ce qui concerne la province, les migrants bénéficient d'une aide du Foncls national de l'emploi et le B"
