"=== THÈME ===";"logement"
"Total documents";"68"
"Total occurrences";"1460"

"=== TOP ORATEURS ==="
"Rang";"Orateur";"Mentions"
"1";"M. Jean Fontaine";"193"
"2";"M. Michel Debré";"171"
"3";"M. Henri Emmanuelli";"104"
"4";"M. Victor Sablé";"96"
"5";"M. Olivier Stirn";"90"
"6";"M. Didier Julia";"73"
"7";"M. Jean-Paul de Rocca Serra";"70"
"8";"M. Emmanuel Hamel";"70"
"9";"M. Paul Dijoud";"70"
"10";"M. Robert-André Vivien";"63"
"11";"M. Aimé Césaire";"62"
"12";"M. Frédéric Jalton";"60"
"13";"M. Robert Le Foll";"56"
"14";"M. Ernest Moutoussamy";"54"
"15";"M. Alain Vivien";"50"
"16";"M. Jean-Paul Virapoullé";"50"
"17";"M. Georges Lemoine";"47"
"18";"M. Camille Petit";"42"
"19";"M. Pierre Mazeaud";"42"
"20";"M. Pierre Mauger";"41"
"21";"M. Albert Pen";"41"
"22";"M. Joseph Franceschi";"40"
"23";"M. Antoine Gissinger";"38"
"24";"M. Wilfrid Bertile";"36"
"25";"M. Guy Ducoloné";"35"
"26";"M. Bernard Marie";"35"
"27";"M. Marcel Esdras";"33"
"28";"M. Henri Beaujean";"32"
"29";"M. Xavier Deniau";"31"
"30";"M. Charles Bignon";"30"

"=== COOCCURRENCES ==="
"Thème associé";"Occurrences"
"emploi";"10225"
"budget";"9821"
"migration";"9453"
"antilles";"3305"
"formation";"3206"
"transport";"2283"
"reunion";"1928"
"insertion";"1426"
"racisme";"1048"

"=== DOCUMENTS ==="
"Fichier";"Année";"Occurrences";"Mentions BUMIDOM";"Type"
"4_qst_4-qst-1972-07-29.txt";"1972";"56";"4";"Question écrite"
"3_cri_1967-1968-ordinaire1_037.txt";"1967";"54";"3";"Compte rendu"
"4_qst_4-qst-1969-02-15.txt";"1969";"54";"1";"Question écrite"
"4_qst_4-qst-1969-09-27.txt";"1969";"53";"1";"Question écrite"
"7_qst_7-qst-1981-10-19.txt";"1981";"49";"2";"Question écrite"
"2_qst_2-qst-1964-09-12.txt";"1964";"46";"1";"Question écrite"
"4_cri_1969-1970-ordinaire1_033.txt";"1969";"45";"1";"Compte rendu"
"4_qst_4-qst-1971-07-10.txt";"1971";"45";"2";"Question écrite"
"6_cri_1978-1979-ordinaire2_017.txt";"1978";"45";"2";"Compte rendu"
"4_qst_4-qst-1969-08-23.txt";"1969";"39";"1";"Question écrite"
"5_cri_1975-1976-ordinaire2_086.txt";"1975";"38";"2";"Compte rendu"
"5_qst_5-qst-1975-07-19.txt";"1975";"35";"1";"Question écrite"
"5_cri_1973-1974-ordinaire1_088.txt";"1973";"34";"3";"Compte rendu"
"6_cri_1978-1979-ordinaire1_106.txt";"1978";"34";"1";"Compte rendu"
"5_cri_1975-1976-ordinaire1_038.txt";"1975";"33";"2";"Compte rendu"
"4_cri_1968-1969-ordinaire1_050.txt";"1968";"32";"11";"Compte rendu"
"4_cri_1972-1973-ordinaire1_063.txt";"1972";"32";"3";"Compte rendu"
"5_cri_1976-1977-ordinaire2_051.txt";"1976";"31";"1";"Compte rendu"
"7_cri_1983-1984-ordinaire2_008.txt";"1983";"31";"1";"Compte rendu"
"5_cri_1976-1977-ordinaire2_024.txt";"1976";"30";"1";"Compte rendu"
"6_qst_6-qst-1980-09-08.txt";"1980";"28";"1";"Question écrite"
"4_tnominative_1968-1973_tnominative_IO.txt";"1968";"26";"1";"Autre"
"5_cri_1973-1974-ordinaire1_032.txt";"1973";"25";"3";"Compte rendu"
"5_cri_1977-1978-ordinaire1_048.txt";"1977";"25";"1";"Compte rendu"
"4_cri_1970-1971-ordinaire2_007.txt";"1970";"24";"2";"Compte rendu"
"4_cri_1970-1971-ordinaire1_065.txt";"1970";"23";"3";"Compte rendu"
"7_cri_1984-1985-ordinaire1_080.txt";"1984";"23";"1";"Compte rendu"
"5_cri_1973-1974-ordinaire1_014.txt";"1973";"22";"1";"Compte rendu"
"8_cri_1986-1987-ordinaire1_090.txt";"1986";"22";"8";"Compte rendu"
"4_cri_1970-1971-ordinaire1_023.txt";"1970";"21";"4";"Compte rendu"
"8_cri_1985-1986-extraordinaire1_015.txt";"1985";"20";"1";"Compte rendu"
"4_cri_1969-1970-ordinaire1_050.txt";"1969";"19";"4";"Compte rendu"
"4_cri_1970-1971-ordinaire1_060.txt";"1970";"19";"1";"Compte rendu"
"4_cri_1971-1972-ordinaire1_067.txt";"1971";"17";"2";"Compte rendu"
"7_cri_1981-1982-extraordinaire4_014.txt";"1981";"17";"1";"Compte rendu"
"8_cri_1986-1987-ordinaire1_086.txt";"1986";"17";"1";"Compte rendu"
"6_qst_6-qst-1980-08-25.txt";"1980";"16";"2";"Question écrite"
"8_cri_1986-1987-ordinaire1_087.txt";"1986";"16";"1";"Compte rendu"
"5_qst_5-qst-1974-04-27.txt";"1974";"15";"1";"Question écrite"
"8_cri_1986-1987-ordinaire1_085.txt";"1986";"15";"3";"Compte rendu"
"5_cri_1976-1977-ordinaire1_062.txt";"1976";"14";"2";"Compte rendu"
"6_cri_1978-1979-ordinaire1_056.txt";"1978";"14";"5";"Compte rendu"
"6_cri_1978-1979-ordinaire1_058.txt";"1978";"14";"1";"Compte rendu"
"2_cri_1964-1965-ordinaire1_021.txt";"1964";"13";"3";"Compte rendu"
"7_cri_1983-1984-ordinaire1_076.txt";"1983";"13";"2";"Compte rendu"
"6_cri_1979-1980-ordinaire1_045.txt";"1979";"12";"2";"Compte rendu"
"8_cri_1985-1986-ordinaire2_049.txt";"1985";"12";"1";"Compte rendu"
"2_cri_1966-1967-ordinaire1_021.txt";"1966";"11";"3";"Compte rendu"
"5_cri_1976-1977-ordinaire1_061.txt";"1976";"10";"2";"Compte rendu"
"7_cri_1984-1985-ordinaire1_039.txt";"1984";"10";"2";"Compte rendu"
"4_cri_1971-1972-ordinaire1_024.txt";"1971";"9";"11";"Compte rendu"
"5_cri_1974-1975-ordinaire1_046.txt";"1974";"9";"5";"Compte rendu"
"5_cri_1975-1976-ordinaire2_035.txt";"1975";"9";"1";"Compte rendu"
"6_cri_1978-1979-extraordinaire2_006.txt";"1978";"9";"1";"Compte rendu"
"6_cri_1978-1979-ordinaire1_025.txt";"1978";"9";"2";"Compte rendu"
"5_cri_1977-1978-ordinaire1_035.txt";"1977";"8";"5";"Compte rendu"
"8_cri_1986-1987-ordinaire1_065.txt";"1986";"8";"1";"Compte rendu"
"5_cri_1975-1976-ordinaire1_058.txt";"1975";"7";"2";"Compte rendu"
"7_cri_1982-1983-ordinaire1_057.txt";"1982";"7";"6";"Compte rendu"
"6_cri_1979-1980-ordinaire2_067.txt";"1979";"6";"1";"Compte rendu"
"8_cri_1987-1988-ordinaire1_025.txt";"1987";"6";"1";"Compte rendu"
"7_cri_1981-1982-ordinaire1_070.txt";"1981";"5";"4";"Compte rendu"
"4_cri_1972-1973-ordinaire1_045.txt";"1972";"4";"1";"Compte rendu"
"5_cri_1974-1975-ordinaire1_047.txt";"1974";"4";"1";"Compte rendu"
"6_cri_1979-1980-ordinaire2_064.txt";"1979";"4";"1";"Compte rendu"
"5_cri_1975-1976-ordinaire1_057.txt";"1975";"3";"4";"Compte rendu"
"6_cri_1979-1980-ordinaire1_113.txt";"1979";"3";"5";"Compte rendu"
"7_cri_1981-1982-ordinaire2_103.txt";"1981";"1";"1";"Compte rendu"
