"=== THÈME ===";"reunion"
"Total documents";"70"
"Total occurrences";"2017"

"=== TOP ORATEURS ==="
"Rang";"Orateur";"Mentions"
"1";"M. Jean Fontaine";"219"
"2";"M. Michel Debré";"179"
"3";"M. Henri Emmanuelli";"104"
"4";"M. Victor Sablé";"96"
"5";"M. Olivier Stirn";"90"
"6";"M. Paul Dijoud";"81"
"7";"M. Emmanuel Hamel";"79"
"8";"M. Jean-Paul de Rocca Serra";"77"
"9";"M. Didier Julia";"73"
"10";"M. Robert-André Vivien";"63"
"11";"M. Aimé Césaire";"62"
"12";"M. Alain Vivien";"61"
"13";"M. Frédéric Jalton";"60"
"14";"M. Robert Le Foll";"56"
"15";"M. Ernest Moutoussamy";"54"
"16";"M. Jean-Paul Virapoullé";"50"
"17";"M. Georges Lemoine";"47"
"18";"M. Pierre Mauger";"43"
"19";"M. Camille Petit";"42"
"20";"M. Pierre Mazeaud";"42"
"21";"M. Bernard Marie";"41"
"22";"M. Albert Pen";"41"
"23";"M. Joseph Franceschi";"40"
"24";"M. Robert Montdargent";"39"
"25";"M. Antoine Gissinger";"36"
"26";"M. Guy Guermeur";"36"
"27";"M. Wilfrid Bertile";"36"
"28";"M. Guy Ducoloné";"35"
"29";"M. Marcel Esdras";"33"
"30";"M. Henri Beaujean";"32"

"=== COOCCURRENCES ==="
"Thème associé";"Occurrences"
"budget";"10670"
"emploi";"10168"
"migration";"9565"
"antilles";"3313"
"formation";"3251"
"transport";"2805"
"insertion";"1458"
"logement";"1451"
"racisme";"1134"

"=== DOCUMENTS ==="
"Fichier";"Année";"Occurrences";"Mentions BUMIDOM";"Type"
"2_cri_1964-1965-ordinaire1_021.txt";"1964";"106";"3";"Compte rendu"
"4_cri_1968-1969-ordinaire1_050.txt";"1968";"84";"11";"Compte rendu"
"3_cri_1967-1968-ordinaire1_037.txt";"1967";"83";"3";"Compte rendu"
"4_cri_1971-1972-ordinaire1_024.txt";"1971";"79";"11";"Compte rendu"
"7_cri_1983-1984-ordinaire2_008.txt";"1983";"71";"1";"Compte rendu"
"4_cri_1972-1973-ordinaire1_045.txt";"1972";"66";"1";"Compte rendu"
"5_cri_1977-1978-ordinaire1_035.txt";"1977";"65";"5";"Compte rendu"
"7_cri_1983-1984-ordinaire1_076.txt";"1983";"65";"2";"Compte rendu"
"6_cri_1978-1979-ordinaire1_050.txt";"1978";"64";"1";"Compte rendu"
"8_cri_1986-1987-ordinaire1_090.txt";"1986";"58";"8";"Compte rendu"
"6_cri_1979-1980-ordinaire2_064.txt";"1979";"53";"1";"Compte rendu"
"4_cri_1970-1971-ordinaire1_023.txt";"1970";"52";"4";"Compte rendu"
"5_cri_1976-1977-ordinaire1_062.txt";"1976";"52";"2";"Compte rendu"
"6_qst_6-qst-1980-08-25.txt";"1980";"52";"2";"Question écrite"
"7_cri_1984-1985-ordinaire1_080.txt";"1984";"50";"1";"Compte rendu"
"5_cri_1975-1976-ordinaire1_058.txt";"1975";"49";"2";"Compte rendu"
"4_cri_1969-1970-ordinaire1_050.txt";"1969";"48";"4";"Compte rendu"
"6_cri_1979-1980-ordinaire1_045.txt";"1979";"43";"2";"Compte rendu"
"8_cri_1986-1987-ordinaire1_085.txt";"1986";"40";"3";"Compte rendu"
"6_cri_1978-1979-ordinaire1_025.txt";"1978";"36";"2";"Compte rendu"
"2_cri_1966-1967-ordinaire1_021.txt";"1966";"34";"3";"Compte rendu"
"5_cri_1973-1974-ordinaire1_032.txt";"1973";"34";"3";"Compte rendu"
"5_cri_1974-1975-ordinaire1_046.txt";"1974";"34";"5";"Compte rendu"
"5_cri_1975-1976-ordinaire1_057.txt";"1975";"34";"4";"Compte rendu"
"7_cri_1981-1982-extraordinaire4_014.txt";"1981";"34";"1";"Compte rendu"
"7_cri_1981-1982-ordinaire1_070.txt";"1981";"33";"4";"Compte rendu"
"8_cri_1986-1987-ordinaire1_086.txt";"1986";"33";"1";"Compte rendu"
"5_cri_1973-1974-ordinaire1_014.txt";"1973";"32";"1";"Compte rendu"
"8_cri_1987-1988-ordinaire1_025.txt";"1987";"31";"1";"Compte rendu"
"4_qst_4-qst-1969-08-23.txt";"1969";"26";"1";"Question écrite"
"5_qst_5-qst-1974-04-27.txt";"1974";"23";"1";"Question écrite"
"4_cri_1970-1971-ordinaire2_007.txt";"1970";"22";"2";"Compte rendu"
"5_cri_1974-1975-ordinaire1_047.txt";"1974";"22";"1";"Compte rendu"
